Location,Date,SPC bottom before,Area
C3,3/31/2026 0:00:00,525,Creek
C3,4/7/2026 0:00:00,473,Creek
C3,4/14/2026 0:00:00,484,Creek
C3,4/21/2026 0:00:00,580,Creek
C3,4/28/2026 0:00:00,495,Creek
C3,5/12/2026 0:00:00,580,Creek
C3,5/19/2026 0:00:00,456,Creek
C3,5/26/2026 0:00:00,584,Creek
C3,6/16/2026 0:00:00,553,Creek
C3,6/23/2026 0:00:00,573,Creek
C3,6/30/2026 0:00:00,577,Creek
C4,7/16/2024 0:00:00,695,Creek
C4,7/19/2024 0:00:00,693,Creek
C4,7/23/2024 0:00:00,675,Creek
C4,7/26/2024 0:00:00,682,Creek
C4,7/28/2024 0:00:00,695,Creek
C4,7/30/2024 0:00:00,695,Creek
C4,8/2/2024 0:00:00,541,Creek
C4,8/3/2024 0:00:00,577,Creek
C4,8/31/2024 0:00:00,681,Creek
C4,9/4/2024 0:00:00,678,Creek
C4,9/7/2024 0:00:00,680,Creek
C4,9/18/2024 0:00:00,702,Creek
C4,9/23/2024 0:00:00,699,Creek
C4,10/4/2024 0:00:00,718,Creek
C4,10/7/2024 0:00:00,,Creek
C4,10/10/2024 0:00:00,704,Creek
C4,10/17/2024 0:00:00,734,Creek
C4,10/21/2024 0:00:00,722,Creek
C4,10/24/2024 0:00:00,719,Creek
C4,11/1/2024 0:00:00,654,Creek
C4,10/7/2025 0:00:00,582,Creek
C4,10/14/2025 0:00:00,564,Creek
C4,10/28/2025 0:00:00,538,Creek
C4,11/4/2025 0:00:00,527,Creek
C4,11/11/2025 0:00:00,521,Creek
C4,11/18/2025 0:00:00,731,Creek
C4,1/6/2026 0:00:00,603,Creek
C4,1/13/2026 0:00:00,1472,Creek
C4,2/3/2026 0:00:00,831,Creek
C4,2/17/2026 0:00:00,451,Creek
C4,2/24/2026 0:00:00,779,Creek
C4,3/3/2026 0:00:00,734,Creek
C4,3/10/2026 0:00:00,646,Creek
C4,3/31/2026 0:00:00,678,Creek
C4,4/7/2026 0:00:00,654,Creek
C4,4/14/2026 0:00:00,564,Creek
C4,4/21/2026 0:00:00,686,Creek
C4,4/28/2026 0:00:00,591,Creek
C4,5/12/2026 0:00:00,659,Creek
C4,5/19/2026 0:00:00,546,Creek
C4,5/26/2026 0:00:00,643,Creek
C4,6/16/2026 0:00:00,681,Creek
C4,6/23/2026 0:00:00,686,Creek
C4,6/30/2026 0:00:00,615,Creek
C5,6/25/2024 0:00:00,607,Creek
C5,6/27/2024 0:00:00,,Creek
C5,6/29/2024 0:00:00,303.8,Creek
C5,7/6/2024 0:00:00,517,Creek
C5,7/8/2024 0:00:00,576,Creek
C5,7/10/2024 0:00:00,592,Creek
C5,7/16/2024 0:00:00,619,Creek
C5,7/19/2024 0:00:00,619,Creek
C5,7/23/2024 0:00:00,604,Creek
C5,7/26/2024 0:00:00,630,Creek
C5,7/28/2024 0:00:00,650,Creek
C5,7/30/2024 0:00:00,609,Creek
C5,8/2/2024 0:00:00,515,Creek
C5,8/3/2024 0:00:00,340,Creek
C5,8/31/2024 0:00:00,601,Creek
C5,9/4/2024 0:00:00,597,Creek
C5,9/7/2024 0:00:00,569,Creek
C5,9/18/2024 0:00:00,610,Creek
C5,9/23/2024 0:00:00,563,Creek
C5,10/4/2024 0:00:00,556,Creek
C5,10/21/2024 0:00:00,,Creek
C5,10/10/2024 0:00:00,563,Creek
C5,10/17/2024 0:00:00,515,Creek
C5,10/21/2024 0:00:00,571,Creek
C5,11/1/2024 0:00:00,466,Creek
C5,9/30/2025 0:00:00,695,Creek
C5,10/7/2025 0:00:00,678,Creek
C5,10/14/2025 0:00:00,630,Creek
C5,10/28/2025 0:00:00,721,Creek
C5,11/4/2025 0:00:00,722,Creek
C5,11/11/2025 0:00:00,477,Creek
C5,11/18/2025 0:00:00,400,Creek
C5,1/6/2026 0:00:00,879,Creek
C5,1/13/2026 0:00:00,504,Creek
C5,2/3/2026 0:00:00,,Creek
C5,2/17/2026 0:00:00,433,Creek
C5,2/24/2026 0:00:00,455,Creek
C5,3/3/2026 0:00:00,471,Creek
C5,3/10/2026 0:00:00,408.3,Creek
C5,3/31/2026 0:00:00,500,Creek
C5,4/7/2026 0:00:00,454.8,Creek
C5,4/14/2026 0:00:00,472,Creek
C5,4/21/2026 0:00:00,569,Creek
C5,4/28/2026 0:00:00,477,Creek
C5,5/12/2026 0:00:00,564,Creek
C5,5/19/2026 0:00:00,438.7,Creek
C5,5/26/2026 0:00:00,567,Creek
C5,6/16/2026 0:00:00,537,Creek
C5,6/23/2026 0:00:00,567,Creek
C5,6/30/2026 0:00:00,557,Creek
