Well,Date,Temp_before,SPC_before,Cond_before,TDS_before,Temp_after,SPC_after,Cond_after,TDS_after
P2,11/4/2025 0:00:00,13.8,783,615,0.4,13.9,621,788,0.4
P2,11/11/2025 0:00:00,12.9,790,608,0.4,13.1,788,610,0.4
P2,11/18/2025 0:00:00,12.3,800,606,0.4,12.4,794,663,0.4
P2,1/6/2026 0:00:00,8,776,524,0.4,,,,
P2,1/13/2026 0:00:00,7.8,774,519,0.4,7.7,770,517,0.4
P2,2/17/2026 0:00:00,6.5,756,489,0.4,6.2,756,486,0.4
P2,2/24/2026 0:00:00,6.2,765,490,0.4,5.9,763,485,0.4
P2,3/3/2026 0:00:00,6.1,763,488,0.4,6.1,751,480,0.4
P2,3/10/2026 0:00:00,6,771,491,0.4,5.9,755,481,0.4
P2,3/31/2026 0:00:00,6.7,786,509,0.4,6.7,757,492,0.4
P2,4/7/2026 0:00:00,6.8,773,504,0.4,6.8,759,495,0.4
P2,4/14/2026 0:00:00,7.1,786,517,0.4,7.22,765,506,0.4
P2,4/21/2026 0:00:00,8.4,796,544,0.4,7.7,796,534,0.4
P2,4/28/2026 0:00:00,8,797,537,0.4,8.1,778,529,0.4
P2,5/12/2026 0:00:00,8.6,794,547,0.4,8.7,786,541,0.4
P2,5/19/2026 0:00:00,8.9,800,554,0.4,9,787,574,0.4
P2,5/26/2026 0:00:00,9.3,796,559,0.4,9.6,785,555,0.4
P2,6/16/2026 0:00:00,10.7,794,577,0.4,11.1,778,571,0.4
P2,6/23/2026 0:00:00,13.3,780,605,0.4,13,770,595,0.4
P2,6/30/2026 0:00:00,11.6,796,591,0.4,11.8,783,588,0.4
P2,7/14/2026 0:00:00,14.5,773,618,0.4,14.3,770,611,0.4
P2,7/27/2026 0:00:00,12.9,781,601,0.4,13.4,770,602,0.4
P3,9/16/2025 0:00:00,,,,,,,,
P3,9/30/2025 0:00:00,12.3,782,592,0.4,12.8,592,772,0.4
P3,10/7/2025 0:00:00,14.2,790,628,0.4,12.7,603,786,0.4
P3,10/14/2025 0:00:00,13.3,799,621,0.4,13.2,606,783,0.4
P3,10/28/2025 0:00:00,11.8,801,600,0.4,11.7,594,796,0.4
P3,11/4/2025 0:00:00,11,815,596,0.4,11,588,804,0.4
P3,11/11/2025 0:00:00,10.3,811,585,0.4,10.4,803,578,0.4
P3,11/18/2025 0:00:00,9.8,812,576,0.4,9.7,805,570,0.4
P3,1/6/2026 0:00:00,6.8,795,519,0.4,,,,
P3,1/13/2026 0:00:00,6.8,790,515,0.4,6.7,784,511,0.4
P3,2/3/2026 0:00:00,6.2,778,500,0.4,6.2,772,495,0.4
P3,2/17/2026 0:00:00,6,779,496,0.4,5.8,773,492,0.4
P3,2/24/2026 0:00:00,5.9,780,496,0.4,5.8,773,489,0.4
P3,3/3/2026 0:00:00,5.6,778,490,0.4,5.7,770,487,0.4
P3,3/10/2026 0:00:00,5.7,778,491,0.4,5.7,771,487,0.4
P3,3/31/2026 0:00:00,6.3,777,501,0.4,6.4,782,505,0.4
P3,4/7/2026 0:00:00,6.7,791,515,0.4,6.7,772,502,0.4
P3,4/14/2026 0:00:00,7.2,794,524,0.4,7.2,788,521,0.4
P3,4/21/2026 0:00:00,7.8,819,549,0.4,7.9,812,548,0.4
P3,4/28/2026 0:00:00,8.3,805,548,0.4,8.4,800,546,0.4
P3,5/12/2026 0:00:00,9.1,805,561,0.4,9.2,798,557,0.4
P3,5/19/2026 0:00:00,9.3,812,570,0.4,9.4,803,565,0.4
P3,5/26/2026 0:00:00,9.7,817,579,0.4,9.9,802,573,0.4
P3,6/16/2026 0:00:00,10.7,802,586,0.4,11.1,798,586,0.4
P3,6/23/2026 0:00:00,12,796,611,0.4,12.7,790,606,0.4
P3,6/3/2026 0:00:00,11.4,809,600,0.4,11.7,804,600,0.4
P3,7/14/2026 0:00:00,14.4,798,641,0.4,12.3,798,606,0.4
P3,7/27/2026 0:00:00,12.2,795,604,0.4,14.4,794,634,0.4
P4,9/30/2025 0:00:00,,,,,,,,
P4,10/7/2025 0:00:00,13.7,587,748,0.4,13.9,583,740,0.4
P4,10/14/2025 0:00:00,13.7,758,595,0.4,13.5,586,751,0.4
P4,10/28/2025 0:00:00,13,768,593,0.4,13,582,755,0.4
P4,11/4/2025 0:00:00,12.7,797,610,0.4,12.8,592,772,0.4
P4,11/11/2025 0:00:00,12.3,780,590,0.4,12.3,778,589,0.4
P4,11/18/2025 0:00:00,11.8,785,586,0.4,11.6,780,580,0.4
P4,1/6/2026 0:00:00,9,704,489,0.3,,,,
P4,1/13/2026 0:00:00,8.7,709,488,0.3,8.8,760,524,0.4
P4,2/17/2026 0:00:00,7.5,788,524,0.4,7.5,790,525,0.4
P4,2/24/2026 0:00:00,7.2,800,528,0.4,7.2,790,522,0.4
P4,3/3/2026 0:00:00,7,802,526,0.4,7.2,796,525,0.4
P4,3/10/2026 0:00:00,6.9,801,525,0.4,6.9,795,521,0.4
P4,3/31/2026 0:00:00,7.1,800,526,0.4,7.1,802,527,0.4
P4,4/7/2026 0:00:00,7,813,534,0.4,7,805,529,0.4
P4,4/14/2026 0:00:00,7.3,814,538,0.4,7.4,806,536,0.4
P4,4/21/2026 0:00:00,7.5,841,563,0.4,7.7,826,558,0.4
P4,4/28/2026 0:00:00,7.7,829,555,0.4,7.8,813,547,0.4
P4,5/12/2026 0:00:00,8.3,818,559,0.4,8.5,808,553,0.4
P4,5/19/2026 0:00:00,8.5,822,563,0.4,8.5,812,556,0.4
P4,5/26/2026 0:00:00,8.9,821,569,0.4,9.2,814,568,0.4
P4,6/16/2026 0:00:00,10.1,803,575,0.4,10.2,801,576,0.4
P4,6/23/2026 0:00:00,10.3,802,576,0.4,10.5,795,576,0.4
P4,6/30/2026 0:00:00,10.6,808,586,0.4,10.9,793,579,0.4
P4,7/14/2026 0:00:00,11.5,788,588,0.4,11.8,774,579,0.4
P4,7/27/2026 0:00:00,11.8,784,586,0.4,12,766,578,0.4
P5,9/30/2025 0:00:00,,,,,11.4,516,664,0.3
P5,10/7/2025 0:00:00,10.6,697,505,0.3,10.7,505,693,0.3
P5,10/14/2025 0:00:00,11.9,691,518,0.3,,,,
P5,10/28/2025 0:00:00,11.4,701,520,0.3,12.3,534,705,0.3
P5,11/4/2025 0:00:00,10.5,719,520,0.4,10.5,453.2,626,0.3
P5,11/11/2025 0:00:00,10.4,716,519,0.4,10.4,683,492,0.3
P5,11/18/2025 0:00:00,10.3,723,521,0.4,10.3,670,483,0.3
P5,1/6/2026 0:00:00,9.3,707,496,0.3,9.1,703,490,0.3
P5,1/13/2026 0:00:00,9.7,679,480,0.3,9.5,685,482,0.3
P5,2/3/2026 0:00:00,9.2,683,977,0.3,,,,
P5,2/17/2026 0:00:00,9.2,689,481,0.3,9.4,623,437.3,0.3
P5,2/24/2026 0:00:00,9.1,691,481,0.3,9.2,695,485,0.3
P5,3/3/2026 0:00:00,9.1,686,478,0.3,8.4,691,741,0.3
P5,3/10/2026 0:00:00,9,681,473,0.3,9.1,656,456,0.3
P5,3/31/2026 0:00:00,9.1,638,443.7,0.3,9.4,643,451.9,0.3
P5,4/7/2026 0:00:00,8.9,656,454.7,0.3,8.6,692,475,0.3
P5,4/14/2026 0:00:00,9.1,686,478,0.3,10.1,578,414.7,0.3
P5,4/21/2026 0:00:00,9.4,623,438.5,0.3,9.7,608,430.8,0.3
P5,4/28/2026 0:00:00,9.3,695,486,0.3,9.2,693,485,0.3
P5,5/12/2026 0:00:00,9.7,679,481,0.3,9.8,685,486,0.3
P5,5/19/2026 0:00:00,9.8,684,485,0.3,10.9,643,468,0.3
P5,5/26/2026 0:00:00,9.9,603,429.7,0.3,10.5,605,,0.3
P5,6/16/2026 0:00:00,10.1,684,489,0.3,11.1,688,493,0.3
P5,6/23/2026 0:00:00,10.2,715,513,0.3,11.2,703,517,0.3
P5,6/30/2026 0:00:00,10.3,706,508,0.3,10.2,672,483,0.3
P5,7/14/2026 0:00:00,11.5,699,519,0.3,10.5,718,522,0.4
P5,7/27/2026 0:00:00,10.9,705,517,0.3,10.3,712,514,0.3
