Date,Precipitation (inches),Snowfall (inches),Snow depth (inches),Maximum Fahrenheit Temperature,Minimum Fahrenheit Temperature ,Mean Fahrenheit Temperature,Mean  Celcius Temperature,,count,724,715,702,633,623,603
2024-12-01,0,0,0,17,7,12,-11.11111111,,,,,,,,
2024-12-02,0,0,0,24,8,16,-8.888888889,,,,,,,,
2024-12-03,0.03,0.2,0,22,7,14.5,-9.722222222,,,,,,,,
2024-12-04,0,0,0,31,6,18.5,-7.5,,,,,,,,
2024-12-05,0,0,0,36,7,21.5,-5.833333333,,,,,,,,
2024-12-06,0,0,0,23,5,14,-10,,,,,,,,
2024-12-07,0,0,0,31,20,25.5,-3.611111111,,,,,,,,
2024-12-08,0,0,0,50,21,35.5,1.944444444,,,,,,,,
2024-12-09,0,0,0,42,M,M,#VALUE!,,,,,,,,
2024-12-10,0,0,0,41,21,31,-0.555555556,,,,,,,,
2024-12-11,T,T,T,M,14,M,#VALUE!,,,,,,,,
2024-12-12,0,0,0,M,-5,M,#VALUE!,,,,,,,,
2024-12-13,0,0,0,6,-5,0.5,-17.5,,,,,,,,
2024-12-14,0,0,0,22,-1,10.5,-11.94444444,,,,,,,,
2024-12-15,0,0,0,32,M,M,#VALUE!,,,,,,,,
2024-12-16,0,0,0,36,M,M,#VALUE!,,,,,,,,
2024-12-17,0,0,0,40,24,32,0,,,,,,,,
2024-12-18,0,0,0,M,24,M,#VALUE!,,,,,,,,
2024-12-19,0.11,2,2,25,17,21,-6.111111111,,,,,,,,
2024-12-20,0.06,1,3,24,18,21,-6.111111111,,,,,,,,
2024-12-21,0,0,3,18,-6,6,-14.44444444,,,,,,,,
2024-12-22,0,0,3,24,-7,8.5,-13.05555556,,,,,,,,
2024-12-23,0,0,3,33,23,28,-2.222222222,,,,,,,,
2024-12-24,0,0,3,34,28,31,-0.555555556,,,,,,,,
2024-12-25,0,0,3,32,27,29.5,-1.388888889,,,,,,,,
2024-12-26,0,0,3,31,27,29,-1.666666667,,,,,,,,
2024-12-27,0.05,0,M,36,30,33,0.555555556,,,,,,,,
2024-12-28,0.77,0,1,40,36,38,3.333333333,,,,,,,,
2024-12-29,0,0,1,49,35,42,5.555555556,,,,,,,,
2024-12-30,0,0,0,40,M,M,#VALUE!,,,,,,,,
2024-12-31,0,0,0,39,M,M,#VALUE!,,,,,,,,
2025-01-01,0,0,0,35,24,29.5,-1.388888889,,,,,,,,
2025-01-02,0,0,0,M,20,M,#VALUE!,,,,,,,,
2025-01-03,0,0,0,M,13,M,#VALUE!,,,,,,,,
2025-01-04,0,0,0,18,3,10.5,-11.94444444,,,,,,,,
2025-01-05,0,0,0,13,M,M,#VALUE!,,,,,,,,
2025-01-06,0,0,0,16,-6,5,-15,,,,,,,,
2025-01-07,0,0,0,21,4,12.5,-10.83333333,,,,,,,,
2025-01-08,0,0,0,20,8,14,-10,,,,,,,,
2025-01-09,0,0,0,21,5,13,-10.55555556,,,,,,,,
2025-01-10,0.04,0.2,T,26,12,19,-7.222222222,,,,,,,,
2025-01-11,0.02,1,1,28,17,22.5,-5.277777778,,,,,,,,
2025-01-12,0.06,2,M,29,17,23,-5,,,,,,,,
2025-01-13,0,0,M,M,-2,M,#VALUE!,,,,,,,,
2025-01-14,0,0,2,9,-6,1.5,-16.94444444,,,,,,,,
2025-01-15,0,0,1,8,-7,0.5,-17.5,,,,,,,,
2025-01-16,T,T,1,31,-12,9.5,-12.5,,,,,,,,
2025-01-17,0,0,1,37,26,31.5,-0.277777778,,,,,,,,
2025-01-18,0,0,1,37,9,23,-5,,,,,,,,
2025-01-19,0,0,1,12,-10,1,-17.22222222,,,,,,,,
2025-01-20,0,0,1,-2,-11,-6.5,-21.38888889,,,,,,,,
2025-01-21,0,0,1,-6,-19,-12.5,-24.72222222,,,,,,,,
2025-01-22,0,0,1,18,-18,0,-17.77777778,,,,,,,,
2025-01-23,0,0,1,28,1,14.5,-9.722222222,,,,,,,,
2025-01-24,0,0,1,13,-4,4.5,-15.27777778,,,,,,,,
2025-01-25,0,0,1,29,0,14.5,-9.722222222,,,,,,,,
2025-01-26,0,0,1,27,5,16,-8.888888889,,,,,,,,
2025-01-27,0,0,1,33,M,M,#VALUE!,,,,,,,,
2025-01-28,0,0,1,36,19,27.5,-2.5,,,,,,,,
2025-01-29,0,0,0,44,23,33.5,0.833333333,,,,,,,,
2025-01-30,0,0,0,M,23,M,#VALUE!,,,,,,,,
2025-01-31,0,0,0,53,27,40,4.444444444,,,,,,,,
2025-02-01,0,0,0,42,27,34.5,1.388888889,,,,,,,,
2025-02-02,T,T,0,33,26,29.5,-1.388888889,,,,,,,,
2025-02-03,0.07,0.2,T,43,30,36.5,2.5,,,,,,,,
2025-02-04,0,0,0,30,2,16,-8.888888889,,,,,,,,
2025-02-05,0,0,0,10,1,5.5,-14.72222222,,,,,,,,
2025-02-06,0,0,0,25,7,16,-8.888888889,,,,,,,,
2025-02-07,0,0,0,20,7,13.5,-10.27777778,,,,,,,,
2025-02-08,0,0,0,24,6,15,-9.444444444,,,,,,,,
2025-02-09,0.15,2,2,22,-2,10,-12.22222222,,,,,,,,
2025-02-10,0,0,2,17,-5,6,-14.44444444,,,,,,,,
2025-02-11,0,0,M,16,-7,4.5,-15.27777778,,,,,,,,
2025-02-12,0,0,1,8,-9,-0.5,-18.05555556,,,,,,,,
2025-02-13,0,0,1,7,-6,0.5,-17.5,,,,,,,,
2025-02-14,0,0,1,9,-6,1.5,-16.94444444,,,,,,,,
2025-02-15,M,2,3,21,4,12.5,-10.83333333,,,,,,,,
2025-02-16,0,0,3,22,5,13.5,-10.27777778,,,,,,,,
2025-02-17,0,0,3,11,-9,1,-17.22222222,,,,,,,,
2025-02-18,0,0,3,-1,-15,-8,-22.22222222,,,,,,,,
2025-02-19,0,0,3,7,-13,-3,-19.44444444,,,,,,,,
2025-02-20,0,0,3,8,-10,-1,-18.33333333,,,,,,,,
2025-02-21,0,0,3,22,-2,10,-12.22222222,,,,,,,,
2025-02-22,0,0,3,24,-2,11,-11.66666667,,,,,,,,
2025-02-23,0,0,3,32,6,19,-7.222222222,,,,,,,,
2025-02-24,0,0,1,46,28,37,2.777777778,,,,,,,,
2025-02-25,0,0,0,51,30,40.5,4.722222222,,,,,,,,
2025-02-26,0,0,0,50,30,40,4.444444444,,,,,,,,
2025-02-27,0,0,0,52,35,43.5,6.388888889,,,,,,,,
2025-02-28,0,0,0,53,36,44.5,6.944444444,,,,,,,,
2025-03-01,0,0,0,44,15,29.5,-1.388888889,,,,,,,,
2025-03-02,0,0,0,27,14,20.5,-6.388888889,,,,,,,,
2025-03-03,0,0,0,41,14,27.5,-2.5,,,,,,,,
2025-03-04,0.03,0,0,53,M,M,#VALUE!,,,,,,,,
2025-03-05,1.07,4,4,53,14,33.5,0.833333333,,,,,,,,
2025-03-06,0.45,5,5,31,18,24.5,-4.166666667,,,,,,,,
2025-03-07,0,0,4,39,M,M,#VALUE!,,,,,,,,
2025-03-08,0,0,3,42,23,32.5,0.277777778,,,,,,,,
2025-03-09,0,0,3,49,26,37.5,3.055555556,,,,,,,,
2025-03-10,0,0,M,54,29,41.5,5.277777778,,,,,,,,
2025-03-11,0,0,M,60,30,45,7.222222222,,,,,,,,
2025-03-12,0,0,M,40,30,35,1.666666667,,,,,,,,
2025-03-13,0,0,0,55,29,42,5.555555556,,,,,,,,
2025-03-14,0,0,0,63,M,M,#VALUE!,,,,,,,,
2025-03-15,0.25,0,0,76,44,60,15.55555556,,,,,,,,
2025-03-16,0,0,0,48,22,35,1.666666667,,,,,,,,
2025-03-17,0,0,0,39,20,29.5,-1.388888889,,,,,,,,
2025-03-18,0,0,0,62,M,M,#VALUE!,,,,,,,,
2025-03-19,0,0,0,49,34,41.5,5.277777778,,,,,,,,
2025-03-20,0,0,0,39,30,34.5,1.388888889,,,,,,,,
2025-03-21,0,0,0,46,28,37,2.777777778,,,,,,,,
2025-03-22,0,0,0,51,23,37,2.777777778,,,,,,,,
2025-03-23,0,0,0,M,19,M,#VALUE!,,,,,,,,
2025-03-24,T,0,0,48,27,37.5,3.055555556,,,,,,,,
2025-03-25,0,0,0,47,21,34,1.111111111,,,,,,,,
2025-03-26,0,0,0,52,26,39,3.888888889,,,,,,,,
2025-03-27,0.03,0,0,53,M,M,#VALUE!,,,,,,,,
2025-03-28,0,0,0,60,M,M,#VALUE!,,,,,,,,
2025-03-29,0.09,0,0,77,30,53.5,11.94444444,,,,,,,,
2025-03-30,1.53,0,0,40,33,36.5,2.5,,,,,,,,
2025-03-31,0.41,0.5,M,36,29,32.5,0.277777778,,,,,,,,
2025-04-01,0,0,0,46,28,37,2.777777778,,,,,,,,
2025-04-02,0.18,2,2,46,29,37.5,3.055555556,,,,,,,,
2025-04-03,0.18,0,0,40,36,38,3.333333333,,,,,,,,
2025-04-04,0,0,0,47,30,38.5,3.611111111,,,,,,,,
2025-04-05,0,0,0,50,29,39.5,4.166666667,,,,,,,,
2025-04-06,0,0,0,43,29,36,2.222222222,,,,,,,,
2025-04-07,0,0,0,58,28,43,6.111111111,,,,,,,,
2025-04-08,0,0,0,M,24,M,#VALUE!,,,,,,,,
2025-04-09,0,0,0,48,24,36,2.222222222,,,,,,,,
2025-04-10,T,0,0,61,M,M,#VALUE!,,,,,,,,
2025-04-11,0.11,0,0,46,36,41,5,,,,,,,,
2025-04-12,M,0,0,55,36,45.5,7.5,,,,,,,,
2025-04-13,0,0,0,67,38,52.5,11.38888889,,,,,,,,
2025-04-14,0,0,0,66,48,57,13.88888889,,,,,,,,
2025-04-15,0.01,T,0,49,41,45,7.222222222,,,,,,,,
2025-04-16,0,0,0,54,34,44,6.666666667,,,,,,,,
2025-04-17,0,0,0,58,34,46,7.777777778,,,,,,,,
2025-04-18,0.3,0,0,73,40,56.5,13.61111111,,,,,,,,
2025-04-19,0.02,0,0,57,40,48.5,9.166666667,,,,,,,,
2025-04-20,0,0,0,54,M,M,#VALUE!,,,,,,,,
2025-04-21,0.9,0,0,53,M,M,#VALUE!,,,,,,,,
2025-04-22,0,0,0,61,40,50.5,10.27777778,,,,,,,,
2025-04-23,0.02,0,0,70,46,58,14.44444444,,,,,,,,
2025-04-24,0,0,0,67,45,56,13.33333333,,,,,,,,
2025-04-25,0.55,0,0,53,43,48,8.888888889,,,,,,,,
2025-04-26,0,0,0,56,36,46,7.777777778,,,,,,,,
2025-04-27,0,0,0,61,31,46,7.777777778,,,,,,,,
2025-04-28,0.7,0,0,64,M,M,#VALUE!,,,,,,,,
2025-04-29,0.4,0,0,71,M,M,#VALUE!,,,,,,,,
2025-04-30,0,0,0,59,39,49,9.444444444,,,,,,,,
2025-05-01,0,0,0,68,39,53.5,11.94444444,,,,,,,,
2025-05-02,0.35,0,0,62,46,54,12.22222222,,,,,,,,
2025-05-03,0,0,0,50,38,44,6.666666667,,,,,,,,
2025-05-04,0,0,0,67,45,56,13.33333333,,,,,,,,
2025-05-05,0,0,0,80,44,62,16.66666667,,,,,,,,
2025-05-06,0,0,0,75,50,62.5,16.94444444,,,,,,,,
2025-05-07,0,0,0,83,49,66,18.88888889,,,,,,,,
2025-05-08,0,0,0,72,41,56.5,13.61111111,,,,,,,,
2025-05-09,0,0,0,71,46,58.5,14.72222222,,,,,,,,
2025-05-10,0.02,0,0,85,48,66.5,19.16666667,,,,,,,,
2025-05-11,0,0,0,75,47,61,16.11111111,,,,,,,,
2025-05-12,0,0,0,89,55,72,22.22222222,,,,,,,,
2025-05-13,0,0,0,87,46,66.5,19.16666667,,,,,,,,
2025-05-14,0,0,0,85,63,74,23.33333333,,,,,,,,
2025-05-15,0.3,0,0,83,64,73.5,23.05555556,,,,,,,,
2025-05-16,0.8,0,0,84,59,71.5,21.94444444,,,,,,,,
2025-05-17,0.5,0,0,62,46,54,12.22222222,,,,,,,,
2025-05-18,0,0,0,51,45,48,8.888888889,,,,,,,,
2025-05-19,0,0,0,57,38,47.5,8.611111111,,,,,,,,
2025-05-20,0.83,0,0,58,41,49.5,9.722222222,,,,,,,,
2025-05-21,1.4,0,0,46,42,44,6.666666667,,,,,,,,
2025-05-22,0.29,0,0,50,44,47,8.333333333,,,,,,,,
2025-05-23,0,0,0,65,44,54.5,12.5,,,,,,,,
2025-05-24,0,0,0,64,43,53.5,11.94444444,,,,,,,,
2025-05-25,0,0,0,68,43,55.5,13.05555556,,,,,,,,
2025-05-26,0,0,0,70,45,57.5,14.16666667,,,,,,,,
2025-05-27,0,0,0,71,47,59,15,,,,,,,,
2025-05-28,0.05,0,0,64,45,54.5,12.5,,,,,,,,
2025-05-29,0.05,0,0,M,55,M,#VALUE!,,,,,,,,
2025-05-30,0.04,0,0,73,M,M,#VALUE!,,,,,,,,
2025-05-31,0,0,0,77,M,M,#VALUE!,,,,,,,,
2025-06-01,0,0,0,78,M,M,#VALUE!,,,,,,,,
2025-06-02,0,0,0,82,54,68,20,,,,,,,,
2025-06-03,0.13,0,0,91,61,76,24.44444444,,,,,,,,
2025-06-04,0.8,0,0,62,51,56.5,13.61111111,,,,,,,,
2025-06-05,0,0,0,78,51,64.5,18.05555556,,,,,,,,
2025-06-06,0,0,0,79,47,63,17.22222222,,,,,,,,
2025-06-07,0,0,0,72,57,64.5,18.05555556,,,,,,,,
2025-06-08,0.59,0,0,74,M,M,#VALUE!,,,,,,,,
2025-06-09,0.06,0,0,72,52,62,16.66666667,,,,,,,,
2025-06-10,0,0,0,67,48,57.5,14.16666667,,,,,,,,
2025-06-11,0,0,0,82,M,M,#VALUE!,,,,,,,,
2025-06-12,0.02,0,0,77,60,68.5,20.27777778,,,,,,,,
2025-06-13,0.53,0,0,71,54,62.5,16.94444444,,,,,,,,
2025-06-14,0.4,0,0,58,52,55,12.77777778,,,,,,,,
2025-06-15,0,0,0,63,54,58.5,14.72222222,,,,,,,,
2025-06-16,0.02,0,0,73,59,66,18.88888889,,,,,,,,
2025-06-17,0.19,0,0,78,64,71,21.66666667,,,,,,,,
2025-06-18,M,0,0,M,M,M,#VALUE!,,,,,,,,
2025-06-19,0,0,0,84,61,72.5,22.5,,,,,,,,
2025-06-20,0.05,0,0,88,61,74.5,23.61111111,,,,,,,,
2025-06-21,0,0,0,85,69,77,25,,,,,,,,
2025-06-22,0,0,0,96,80,88,31.11111111,,,,,,,,
2025-06-23,0.04,0,0,97,M,M,#VALUE!,,,,,,,,
2025-06-24,0,0,0,83,64,73.5,23.05555556,,,,,,,,
2025-06-25,0,0,0,81,64,72.5,22.5,,,,,,,,
2025-06-26,1.68,0,0,76,62,69,20.55555556,,,,,,,,
2025-06-27,1.55,0,0,66,61,63.5,17.5,,,,,,,,
2025-06-28,0,0,0,75,61,68,20,,,,,,,,
2025-06-29,0.25,0,0,86,65,75.5,24.16666667,,,,,,,,
2025-06-30,0,0,0,85,65,75,23.88888889,,,,,,,,
2025-07-01,0,0,0,82,65,73.5,23.05555556,,,,,,,,
2025-07-02,0,0,0,86,66,76,24.44444444,,,,,,,,
2025-07-03,0,0,0,89,66,77.5,25.27777778,,,,,,,,
2025-07-04,0,0,0,90,70,80,26.66666667,,,,,,,,
2025-07-05,0.09,0,0,92,70,81,27.22222222,,,,,,,,
2025-07-06,0.86,0,0,83,70,76.5,24.72222222,,,,,,,,
2025-07-07,0,0,0,85,65,75,23.88888889,,,,,,,,
2025-07-08,0.37,0,0,85,63,74,23.33333333,,,,,,,,
2025-07-09,0,0,0,83,63,73,22.77777778,,,,,,,,
2025-07-10,0,0,0,84,M,M,#VALUE!,,,,,,,,
2025-07-11,0,0,0,81,66,73.5,23.05555556,,,,,,,,
2025-07-12,0,0,0,83,70,76.5,24.72222222,,,,,,,,
2025-07-13,0,0,0,79,62,70.5,21.38888889,,,,,,,,
2025-07-14,0,0,0,86,62,74,23.33333333,,,,,,,,
2025-07-15,0,0,0,89,70,79.5,26.38888889,,,,,,,,
2025-07-16,0.84,0,0,89,71,80,26.66666667,,,,,,,,
2025-07-17,0.63,0,0,71,53,62,16.66666667,,,,,,,,
2025-07-18,0,0,0,73,53,63,17.22222222,,,,,,,,
2025-07-19,0.08,0,0,75,58,66.5,19.16666667,,,,,,,,
2025-07-20,0,0,0,81,M,M,#VALUE!,,,,,,,,
2025-07-21,0,0,0,82,57,69.5,20.83333333,,,,,,,,
2025-07-22,0.27,0,0,80,63,71.5,21.94444444,,,,,,,,
2025-07-23,0,0,0,89,76,82.5,28.05555556,,,,,,,,
2025-07-24,1.41,0,0,82,71,76.5,24.72222222,,,,,,,,
2025-07-25,0,0,0,87,68,77.5,25.27777778,,,,,,,,
2025-07-26,0,0,0,85,67,76,24.44444444,,,,,,,,
2025-07-27,0,0,0,89,70,79.5,26.38888889,,,,,,,,
2025-07-28,0.52,0,0,92,69,80.5,26.94444444,,,,,,,,
2025-07-29,0.65,0,0,88,66,77,25,,,,,,,,
2025-07-30,0,0,0,85,66,75.5,24.16666667,,,,,,,,
2025-07-31,0,0,0,82,61,71.5,21.94444444,,,,,,,,
2025-08-01,0,0,0,77,59,68,20,,,,,,,,
2025-08-02,0,0,0,78,61,69.5,20.83333333,,,,,,,,
2025-08-03,0,0,0,78,59,68.5,20.27777778,,,,,,,,
2025-08-04,0,0,0,77,62,69.5,20.83333333,,,,,,,,
2025-08-05,0,0,0,78,63,70.5,21.38888889,,,,,,,,
2025-08-06,0,0,0,81,63,72,22.22222222,,,,,,,,
2025-08-07,0.01,0,0,81,69,75,23.88888889,,,,,,,,
2025-08-08,0,0,0,85,70,77.5,25.27777778,,,,,,,,
2025-08-09,0.11,0,0,89,71,80,26.66666667,,,,,,,,
2025-08-10,0.41,0,0,81,68,74.5,23.61111111,,,,,,,,
2025-08-11,0,0,0,82,66,74,23.33333333,,,,,,,,
2025-08-12,0,0,0,79,63,71,21.66666667,,,,,,,,
2025-08-13,0,0,0,82,62,72,22.22222222,,,,,,,,
2025-08-14,0,0,0,81,61,71,21.66666667,,,,,,,,
2025-08-15,0.03,0,0,78,67,72.5,22.5,,,,,,,,
2025-08-16,2.51,T,0,87,68,77.5,25.27777778,,,,,,,,
2025-08-17,0.59,0,0,87,68,77.5,25.27777778,,,,,,,,
2025-08-18,0.85,0,0,80,69,74.5,23.61111111,,,,,,,,
2025-08-19,0.11,0,0,80,69,74.5,23.61111111,,,,,,,,
2025-08-20,0,0,0,88,69,78.5,25.83333333,,,,,,,,
2025-08-21,0,0,0,84,67,75.5,24.16666667,,,,,,,,
2025-08-22,0,0,0,83,67,75,23.88888889,,,,,,,,
2025-08-23,0.02,0,0,78,66,72,22.22222222,,,,,,,,
2025-08-24,0,0,0,69,60,64.5,18.05555556,,,,,,,,
2025-08-25,0,0,0,67,56,61.5,16.38888889,,,,,,,,
2025-08-26,0,0,0,71,53,62,16.66666667,,,,,,,,
2025-08-27,0,0,0,76,55,65.5,18.61111111,,,,,,,,
2025-08-28,0,0,0,78,55,66.5,19.16666667,,,,,,,,
2025-08-29,0.23,0,0,80,60,70,21.11111111,,,,,,,,
2025-08-30,0,0,0,76,59,67.5,19.72222222,,,,,,,,
2025-08-31,0,0,0,77,57,67,19.44444444,,,,,,,,
2025-09-01,0,0,0,77,56,66.5,19.16666667,,,,,,,,
2025-09-02,0,0,0,78,59,68.5,20.27777778,,,,,,,,
2025-09-03,0.36,0,0,76,58,67,19.44444444,,,,,,,,
2025-09-04,0,0,0,63,47,55,12.77777778,,,,,,,,
2025-09-05,0.41,0,0,61,45,53,11.66666667,,,,,,,,
2025-09-06,0,0,0,59,47,53,11.66666667,,,,,,,,
2025-09-07,0.16,0,0,61,47,54,12.22222222,,,,,,,,
2025-09-08,0,0,0,65,46,55.5,13.05555556,,,,,,,,
2025-09-09,0,0,0,77,51,64,17.77777778,,,,,,,,
2025-09-10,0.42,0,0,68,60,64,17.77777778,,,,,,,,
2025-09-11,0,0,0,76,57,66.5,19.16666667,,,,,,,,
2025-09-12,0,0,0,76,57,66.5,19.16666667,,,,,,,,
2025-09-13,0.09,0,0,82,63,72.5,22.5,,,,,,,,
2025-09-14,0,0,0,M,67,M,#VALUE!,,,,,,,,
2025-09-15,0,0,0,85,69,77,25,,,,,,,,
2025-09-16,M,0,0,80,69,74.5,23.61111111,,,,,,,,
2025-09-17,0,0,0,92,66,79,26.11111111,,,,,,,,
2025-09-18,0,0,0,84,65,74.5,23.61111111,,,,,,,,
2025-09-19,0.2,0,0,83,66,74.5,23.61111111,,,,,,,,
2025-09-20,0.82,0,0,75,62,68.5,20.27777778,,,,,,,,
2025-09-21,0,0,0,75,61,68,20,,,,,,,,
2025-09-22,2.85,0,0,79,60,69.5,20.83333333,,,,,,,,
2025-09-23,0.1,0,0,75,59,67,19.44444444,,,,,,,,
2025-09-24,0,0,0,75,59,67,19.44444444,,,,,,,,
2025-09-25,0,0,0,77,56,66.5,19.16666667,,,,,,,,
2025-09-26,0,0,0,81,55,68,20,,,,,,,,
2025-09-27,0,0,0,79,59,69,20.55555556,,,,,,,,
2025-09-28,0,0,0,75,50,62.5,16.94444444,,,,,,,,
2025-09-29,0,0,0,79,49,64,17.77777778,,,,,,,,
2025-09-30,0,0,0,86,57,71.5,21.94444444,,,,,,,,
2025-10-01,0,0,0,82,65,73.5,23.05555556,,,,,,,,
2025-10-02,0,0,0,78,65,71.5,21.94444444,,,,,,,,
2025-10-03,0,0,0,87,63,75,23.88888889,,,,,,,,
2025-10-04,0,0,0,90,62,76,24.44444444,,,,,,,,
2025-10-05,0,0,0,M,60,M,#VALUE!,,,,,,,,
2025-10-06,0.15,0,0,76,53,64.5,18.05555556,,,,,,,,
2025-10-07,0,0,0,59,45,52,11.11111111,,,,,,,,
2025-10-08,0,0,0,65,39,52,11.11111111,,,,,,,,
2025-10-09,0,0,0,62,39,50.5,10.27777778,,,,,,,,
2025-10-10,0.01,0,0,70,47,58.5,14.72222222,,,,,,,,
2025-10-11,0,0,0,69,42,55.5,13.05555556,,,,,,,,
2025-10-12,0,0,0,66,40,53,11.66666667,,,,,,,,
2025-10-13,0.11,0,0,68,48,58,14.44444444,,,,,,,,
2025-10-14,0,0,0,63,48,55.5,13.05555556,,,,,,,,
2025-10-15,0.51,0,0,51,47,49,9.444444444,,,,,,,,
2025-10-16,0.15,0,0,55,47,51,10.55555556,,,,,,,,
2025-10-17,0.15,0,0,64,55,59.5,15.27777778,,,,,,,,
2025-10-18,0,0,0,74,49,61.5,16.38888889,,,,,,,,
2025-10-19,0.02,0,0,63,46,54.5,12.5,,,,,,,,
2025-10-20,0,0,0,59,41,50,10,,,,,,,,
2025-10-21,0.08,0,0,64,41,52.5,11.38888889,,,,,,,,
2025-10-22,0.15,0,0,46,43,44.5,6.944444444,,,,,,,,
2025-10-23,0,0,0,48,38,43,6.111111111,,,,,,,,
2025-10-24,0,0,0,51,31,41,5,,,,,,,,
2025-10-25,0.02,0,0,56,30,43,6.111111111,,,,,,,,
2025-10-26,0.07,0,0,52,44,48,8.888888889,,,,,,,,
2025-10-27,0,0,0,62,45,53.5,11.94444444,,,,,,,,
2025-10-28,0,0,0,59,44,51.5,10.83333333,,,,,,,,
2025-10-29,0.01,0,0,55,45,50,10,,,,,,,,
2025-10-30,0,0,0,55,36,45.5,7.5,,,,,,,,
2025-10-31,0.03,0,0,48,35,41.5,5.277777778,,,,,,,,
2025-11-01,0.1,0,0,43,39,41,5,,,,,,,,
2025-11-02,0,0,0,46,37,41.5,5.277777778,,,,,,,,
2025-11-03,0,0,0,52,38,45,7.222222222,,,,,,,,
2025-11-04,0,0,0,57,40,48.5,9.166666667,,,,,,,,
2025-11-05,0,0,0,62,39,50.5,10.27777778,,,,,,,,
2025-11-06,0,0,0,55,35,45,7.222222222,,,,,,,,
2025-11-07,0,0,0,54,35,44.5,6.944444444,,,,,,,,
2025-11-08,0,0,0,44,33,38.5,3.611111111,,,,,,,,
2025-11-09,0,0,0,38,24,31,-0.555555556,,,,,,,,
2025-11-10,0,0,0,28,23,25.5,-3.611111111,,,,,,,,
2025-11-11,0,0,0,35,22,28.5,-1.944444444,,,,,,,,
2025-11-12,0,0,0,51,30,40.5,4.722222222,,,,,,,,
2025-11-13,0,0,0,53,29,41,5,,,,,,,,
2025-11-14,0,0,0,54,29,41.5,5.277777778,,,,,,,,
2025-11-15,0,0,0,73,36,54.5,12.5,,,,,,,,
2025-11-16,0,0,0,56,34,45,7.222222222,,,,,,,,
2025-11-17,0,0,0,46,28,37,2.777777778,,,,,,,,
2025-11-18,0,0,0,46,28,37,2.777777778,,,,,,,,
2025-11-19,0,0,0,42,34,38,3.333333333,,,,,,,,
2025-11-20,0,0,0,43,38,40.5,4.722222222,,,,,,,,
2025-11-21,0,0,0,47,28,37.5,3.055555556,,,,,,,,
2025-11-22,0,0,0,47,27,37,2.777777778,,,,,,,,
2025-11-23,0,0,0,52,32,42,5.555555556,,,,,,,,
2025-11-24,0,0,0,56,31,43.5,6.388888889,,,,,,,,
2025-11-25,0.2,0,0,49,39,44,6.666666667,,,,,,,,
2025-11-26,0.35,0.5,0,47,27,37,2.777777778,,,,,,,,
2025-11-27,0,0,0,30,24,27,-2.777777778,,,,,,,,
