Date,MeanTempF,MeanTempC
10/2/2024,56.5,13.61111111
10/3/2024,,-17.77777778
10/4/2024,54,12.22222222
10/5/2024,55.5,13.05555556
10/6/2024,60.5,15.83333333
10/7/2024,,-17.77777778
10/8/2024,54.5,12.5
10/9/2024,53.5,11.94444444
10/10/2024,58.5,14.72222222
10/11/2024,63,17.22222222
10/12/2024,58,14.44444444
10/13/2024,51.5,10.83333333
10/14/2024,46.5,8.055555556
10/15/2024,44.5,6.944444444
10/16/2024,42,5.555555556
10/17/2024,45.5,7.5
10/18/2024,57.5,14.16666667
10/19/2024,63.5,17.5
10/20/2024,62,16.66666667
10/21/2024,66,18.88888889
10/22/2024,70.5,21.38888889
10/23/2024,61,16.11111111
10/24/2024,48,8.888888889
10/25/2024,53,11.66666667
10/26/2024,46.5,8.055555556
10/27/2024,47,8.333333333
10/28/2024,54,12.22222222
10/29/2024,61,16.11111111
10/30/2024,69,20.55555556
10/31/2024,58,14.44444444
11/1/2024,37.5,3.055555556
11/2/2024,37.5,3.055555556
11/3/2024,,-17.77777778
11/4/2024,49.5,9.722222222
11/5/2024,54,12.22222222
11/6/2024,41.5,5.277777778
11/7/2024,38,3.333333333
11/8/2024,43,6.111111111
11/9/2024,46,7.777777778
11/10/2024,45.5,7.5
11/11/2024,45.5,7.5
11/12/2024,38.5,3.611111111
11/13/2024,38.5,3.611111111
11/14/2024,42,5.555555556
11/15/2024,41,5
11/16/2024,44,6.666666667
11/17/2024,46,7.777777778
11/18/2024,43,6.111111111
11/19/2024,44.5,6.944444444
11/20/2024,45,7.222222222
11/21/2024,31.5,-0.277777778
11/22/2024,36.5,2.5
11/23/2024,,-17.77777778
11/24/2024,36,2.222222222
11/25/2024,38.5,3.611111111
11/26/2024,27.5,-2.5
11/27/2024,23,-5
11/28/2024,23,-5
11/29/2024,20,-6.666666667
11/30/2024,14.5,-9.722222222
12/1/2024,12,-11.11111111
12/2/2024,16,-8.888888889
12/3/2024,14.5,-9.722222222
12/4/2024,18.5,-7.5
12/5/2024,21.5,-5.833333333
12/6/2024,14,-10
12/7/2024,25.5,-3.611111111
12/8/2024,35.5,1.944444444
12/9/2024,,-17.77777778
12/10/2024,31,-0.555555556
12/11/2024,,-17.77777778
12/12/2024,,-17.77777778
12/13/2024,0.5,-17.5
12/14/2024,10.5,-11.94444444
12/15/2024,,-17.77777778
12/16/2024,,-17.77777778
12/17/2024,32,0
12/18/2024,,-17.77777778
12/19/2024,21,-6.111111111
12/20/2024,21,-6.111111111
12/21/2024,6,-14.44444444
12/22/2024,8.5,-13.05555556
12/23/2024,28,-2.222222222
12/24/2024,31,-0.555555556
12/25/2024,29.5,-1.388888889
12/26/2024,29,-1.666666667
12/27/2024,33,0.555555556
12/28/2024,38,3.333333333
12/29/2024,42,5.555555556
12/30/2024,,-17.77777778
12/31/2024,,-17.77777778
1/1/2025,29.5,-1.388888889
1/2/2025,,-17.77777778
1/3/2025,,-17.77777778
1/4/2025,10.5,-11.94444444
1/5/2025,,-17.77777778
1/6/2025,5,-15
1/7/2025,12.5,-10.83333333
1/8/2025,14,-10
1/9/2025,13,-10.55555556
1/10/2025,19,-7.222222222
1/11/2025,22.5,-5.277777778
1/12/2025,23,-5
1/13/2025,,-17.77777778
1/14/2025,1.5,-16.94444444
1/15/2025,0.5,-17.5
1/16/2025,9.5,-12.5
1/17/2025,31.5,-0.277777778
1/18/2025,23,-5
1/19/2025,1,-17.22222222
1/20/2025,-6.5,-21.38888889
1/21/2025,-12.5,-24.72222222
1/22/2025,0,-17.77777778
1/23/2025,14.5,-9.722222222
1/24/2025,4.5,-15.27777778
1/25/2025,14.5,-9.722222222
1/26/2025,16,-8.888888889
1/27/2025,,-17.77777778
1/28/2025,27.5,-2.5
1/29/2025,33.5,0.833333333
1/30/2025,,-17.77777778
1/31/2025,40,4.444444444
2/1/2025,34.5,1.388888889
2/2/2025,29.5,-1.388888889
2/3/2025,36.5,2.5
2/4/2025,16,-8.888888889
2/5/2025,5.5,-14.72222222
2/6/2025,16,-8.888888889
2/7/2025,13.5,-10.27777778
2/8/2025,15,-9.444444444
2/9/2025,10,-12.22222222
2/10/2025,6,-14.44444444
2/11/2025,4.5,-15.27777778
2/12/2025,-0.5,-18.05555556
2/13/2025,0.5,-17.5
2/14/2025,1.5,-16.94444444
2/15/2025,12.5,-10.83333333
2/16/2025,13.5,-10.27777778
2/17/2025,1,-17.22222222
2/18/2025,-8,-22.22222222
2/19/2025,-3,-19.44444444
2/20/2025,-1,-18.33333333
2/21/2025,10,-12.22222222
2/22/2025,11,-11.66666667
2/23/2025,19,-7.222222222
2/24/2025,37,2.777777778
2/25/2025,40.5,4.722222222
2/26/2025,40,4.444444444
2/27/2025,43.5,6.388888889
2/28/2025,44.5,6.944444444
3/1/2025,29.5,-1.388888889
3/2/2025,20.5,-6.388888889
3/3/2025,27.5,-2.5
3/4/2025,,-17.77777778
3/5/2025,33.5,0.833333333
3/6/2025,24.5,-4.166666667
3/7/2025,,-17.77777778
3/8/2025,32.5,0.277777778
3/9/2025,37.5,3.055555556
3/10/2025,41.5,5.277777778
3/11/2025,45,7.222222222
3/12/2025,35,1.666666667
3/13/2025,42,5.555555556
3/14/2025,,-17.77777778
3/15/2025,60,15.55555556
3/16/2025,35,1.666666667
3/17/2025,29.5,-1.388888889
3/18/2025,,-17.77777778
3/19/2025,41.5,5.277777778
3/20/2025,34.5,1.388888889
3/21/2025,37,2.777777778
3/22/2025,37,2.777777778
3/23/2025,,-17.77777778
3/24/2025,37.5,3.055555556
3/25/2025,34,1.111111111
3/26/2025,39,3.888888889
3/27/2025,,-17.77777778
3/28/2025,,-17.77777778
3/29/2025,53.5,11.94444444
3/30/2025,36.5,2.5
3/31/2025,32.5,0.277777778
4/1/2025,37,2.777777778
4/2/2025,37.5,3.055555556
4/3/2025,38,3.333333333
4/4/2025,38.5,3.611111111
4/5/2025,39.5,4.166666667
4/6/2025,36,2.222222222
4/7/2025,43,6.111111111
4/8/2025,,-17.77777778
4/9/2025,36,2.222222222
4/10/2025,,-17.77777778
4/11/2025,41,5
4/12/2025,45.5,7.5
4/13/2025,52.5,11.38888889
4/14/2025,57,13.88888889
4/15/2025,45,7.222222222
4/16/2025,44,6.666666667
4/17/2025,46,7.777777778
4/18/2025,56.5,13.61111111
4/19/2025,48.5,9.166666667
4/20/2025,,-17.77777778
4/21/2025,,-17.77777778
4/22/2025,50.5,10.27777778
4/23/2025,58,14.44444444
4/24/2025,56,13.33333333
4/25/2025,48,8.888888889
4/26/2025,46,7.777777778
4/27/2025,46,7.777777778
4/28/2025,,-17.77777778
4/29/2025,,-17.77777778
4/30/2025,49,9.444444444
5/1/2025,53.5,11.94444444
5/2/2025,54,12.22222222
5/3/2025,44,6.666666667
5/4/2025,56,13.33333333
5/5/2025,62,16.66666667
5/6/2025,62.5,16.94444444
5/7/2025,66,18.88888889
5/8/2025,56.5,13.61111111
5/9/2025,58.5,14.72222222
5/10/2025,66.5,19.16666667
5/11/2025,61,16.11111111
5/12/2025,72,22.22222222
5/13/2025,66.5,19.16666667
5/14/2025,74,23.33333333
5/15/2025,73.5,23.05555556
5/16/2025,71.5,21.94444444
5/17/2025,54,12.22222222
5/18/2025,48,8.888888889
5/19/2025,47.5,8.611111111
5/20/2025,49.5,9.722222222
5/21/2025,44,6.666666667
5/22/2025,47,8.333333333
5/23/2025,54.5,12.5
5/24/2025,53.5,11.94444444
5/25/2025,55.5,13.05555556
5/26/2025,57.5,14.16666667
5/27/2025,59,15
5/28/2025,54.5,12.5
5/29/2025,,-17.77777778
5/30/2025,,-17.77777778
5/31/2025,,-17.77777778
6/1/2025,,-17.77777778
6/2/2025,68,20
6/3/2025,76,24.44444444
6/4/2025,56.5,13.61111111
6/5/2025,64.5,18.05555556
6/6/2025,63,17.22222222
6/7/2025,64.5,18.05555556
6/8/2025,,-17.77777778
6/9/2025,62,16.66666667
6/10/2025,57.5,14.16666667
6/11/2025,,-17.77777778
6/12/2025,68.5,20.27777778
6/13/2025,62.5,16.94444444
6/14/2025,55,12.77777778
6/15/2025,58.5,14.72222222
6/16/2025,66,18.88888889
6/17/2025,71,21.66666667
6/18/2025,,-17.77777778
6/19/2025,72.5,22.5
6/20/2025,74.5,23.61111111
6/21/2025,77,25
6/22/2025,88,31.11111111
6/23/2025,,-17.77777778
6/24/2025,73.5,23.05555556
6/25/2025,72.5,22.5
6/26/2025,69,20.55555556
6/27/2025,63.5,17.5
6/28/2025,68,20
6/29/2025,75.5,24.16666667
6/30/2025,75,23.88888889
7/1/2025,73.5,23.05555556
7/2/2025,76,24.44444444
7/3/2025,77.5,25.27777778
7/4/2025,80,26.66666667
7/5/2025,81,27.22222222
7/6/2025,76.5,24.72222222
7/7/2025,75,23.88888889
7/8/2025,74,23.33333333
7/9/2025,73,22.77777778
7/10/2025,,-17.77777778
7/11/2025,73.5,23.05555556
7/12/2025,76.5,24.72222222
7/13/2025,70.5,21.38888889
7/14/2025,74,23.33333333
7/15/2025,79.5,26.38888889
7/16/2025,80,26.66666667
7/17/2025,62,16.66666667
7/18/2025,63,17.22222222
7/19/2025,66.5,19.16666667
7/20/2025,,-17.77777778
7/21/2025,69.5,20.83333333
7/22/2025,71.5,21.94444444
7/23/2025,82.5,28.05555556
7/24/2025,76.5,24.72222222
7/25/2025,77.5,25.27777778
7/26/2025,76,24.44444444
7/27/2025,79.5,26.38888889
7/28/2025,80.5,26.94444444
7/29/2025,77,25
7/30/2025,75.5,24.16666667
7/31/2025,71.5,21.94444444
8/1/2025,68,20
8/2/2025,69.5,20.83333333
8/3/2025,68.5,20.27777778
8/4/2025,69.5,20.83333333
8/5/2025,70.5,21.38888889
8/6/2025,72,22.22222222
8/7/2025,75,23.88888889
8/8/2025,77.5,25.27777778
8/9/2025,80,26.66666667
8/10/2025,74.5,23.61111111
8/11/2025,74,23.33333333
8/12/2025,71,21.66666667
8/13/2025,72,22.22222222
8/14/2025,71,21.66666667
8/15/2025,72.5,22.5
8/16/2025,77.5,25.27777778
8/17/2025,77.5,25.27777778
8/18/2025,74.5,23.61111111
8/19/2025,74.5,23.61111111
8/20/2025,78.5,25.83333333
8/21/2025,75.5,24.16666667
8/22/2025,75,23.88888889
8/23/2025,72,22.22222222
8/24/2025,64.5,18.05555556
8/25/2025,61.5,16.38888889
8/26/2025,62,16.66666667
8/27/2025,65.5,18.61111111
8/28/2025,66.5,19.16666667
8/29/2025,70,21.11111111
8/30/2025,67.5,19.72222222
8/31/2025,67,19.44444444
9/1/2025,66.5,19.16666667
9/2/2025,68.5,20.27777778
9/3/2025,67,19.44444444
9/4/2025,55,12.77777778
9/5/2025,53,11.66666667
9/6/2025,53,11.66666667
9/7/2025,54,12.22222222
9/8/2025,55.5,13.05555556
9/9/2025,64,17.77777778
9/10/2025,64,17.77777778
9/11/2025,66.5,19.16666667
9/12/2025,66.5,19.16666667
9/13/2025,72.5,22.5
9/14/2025,,-17.77777778
9/15/2025,77,25
9/16/2025,74.5,23.61111111
9/17/2025,79,26.11111111
9/18/2025,74.5,23.61111111
9/19/2025,74.5,23.61111111
9/20/2025,68.5,20.27777778
9/21/2025,68,20
9/22/2025,69.5,20.83333333
9/23/2025,67,19.44444444
9/24/2025,67,19.44444444
9/25/2025,66.5,19.16666667
9/26/2025,68,20
9/27/2025,69,20.55555556
9/28/2025,62.5,16.94444444
9/29/2025,64,17.77777778
9/30/2025,71.5,21.94444444
10/1/2025,73.5,23.05555556
10/2/2025,71.5,21.94444444
10/3/2025,75,23.88888889
10/4/2025,76,24.44444444
10/5/2025,,-17.77777778
10/6/2025,64.5,18.05555556
10/7/2025,52,11.11111111
10/8/2025,52,11.11111111
10/9/2025,50.5,10.27777778
10/10/2025,58.5,14.72222222
10/11/2025,55.5,13.05555556
10/12/2025,53,11.66666667
10/13/2025,58,14.44444444
10/14/2025,55.5,13.05555556
10/15/2025,49,9.444444444
10/16/2025,51,10.55555556
10/17/2025,59.5,15.27777778
10/18/2025,61.5,16.38888889
10/19/2025,54.5,12.5
10/20/2025,50,10
10/21/2025,52.5,11.38888889
10/22/2025,44.5,6.944444444
10/23/2025,43,6.111111111
10/24/2025,41,5
10/25/2025,43,6.111111111
10/26/2025,48,8.888888889
10/27/2025,53.5,11.94444444
10/28/2025,51.5,10.83333333
10/29/2025,50,10
10/30/2025,45.5,7.5
10/31/2025,41.5,5.277777778
11/1/2025,41,5
11/2/2025,41.5,5.277777778
11/3/2025,45,7.222222222
11/4/2025,48.5,9.166666667
11/5/2025,50.5,10.27777778
11/6/2025,45,7.222222222
11/7/2025,44.5,6.944444444
11/8/2025,38.5,3.611111111
11/9/2025,31,-0.555555556
11/10/2025,25.5,-3.611111111
11/11/2025,28.5,-1.944444444
11/12/2025,40.5,4.722222222
11/13/2025,41,5
11/14/2025,41.5,5.277777778
11/15/2025,54.5,12.5
11/16/2025,45,7.222222222
11/17/2025,37,2.777777778
11/18/2025,37,2.777777778
11/19/2025,38,3.333333333
11/20/2025,40.5,4.722222222
11/21/2025,37.5,3.055555556
11/22/2025,37,2.777777778
11/23/2025,42,5.555555556
11/24/2025,43.5,6.388888889
11/25/2025,44,6.666666667
11/26/2025,37,2.777777778
11/27/2025,27,-2.777777778
11/28/2025,24.5,-4.166666667
11/29/2025,22,-5.555555556
11/30/2025,22.5,-5.277777778
12/1/2025,14.5,-9.722222222
12/2/2025,12,-11.11111111
12/3/2025,19.5,-6.944444444
12/4/2025,10.5,-11.94444444
12/5/2025,10.5,-11.94444444
12/6/2025,23,-5
12/7/2025,16,-8.888888889
12/8/2025,6.5,-14.16666667
12/9/2025,18,-7.777777778
12/10/2025,25.5,-3.611111111
12/11/2025,18,-7.777777778
12/12/2025,11.5,-11.38888889
12/13/2025,9,-12.77777778
12/14/2025,-1.5,-18.61111111
12/15/2025,3,-16.11111111
12/16/2025,19,-7.222222222
12/17/2025,29,-1.666666667
12/18/2025,31.5,-0.277777778
12/19/2025,19,-7.222222222
12/20/2025,12.5,-10.83333333
12/21/2025,12.5,-10.83333333
12/22/2025,19.5,-6.944444444
12/23/2025,30.5,-0.833333333
12/24/2025,28,-2.222222222
12/25/2025,29.5,-1.388888889
12/26/2025,29.5,-1.388888889
12/27/2025,33,0.555555556
12/28/2025,34,1.111111111
12/29/2025,23.5,-4.722222222
12/30/2025,9.5,-12.5
12/31/2025,18.5,-7.5
1/1/2026,20.5,-6.388888889
1/2/2026,10,-12.22222222
1/3/2026,11.5,-11.38888889
1/4/2026,16,-8.888888889
1/5/2026,23,-5
1/6/2026,26.5,-3.055555556
1/7/2026,27.5,-2.5
1/8/2026,34,1.111111111
1/9/2026,26,-3.333333333
1/10/2026,28,-2.222222222
1/11/2026,21,-6.111111111
1/12/2026,21.5,-5.833333333
1/13/2026,33.5,0.833333333
1/14/2026,31,-0.555555556
1/15/2026,,-17.77777778
1/16/2026,,-17.77777778
1/17/2026,,-17.77777778
1/18/2026,,-17.77777778
1/19/2026,,-17.77777778
1/20/2026,,-17.77777778
1/21/2026,,-17.77777778
1/22/2026,,-17.77777778
1/23/2026,-5.5,-20.83333333
1/24/2026,-12.5,-24.72222222
1/25/2026,,-17.77777778
1/26/2026,,-17.77777778
1/27/2026,2,-16.66666667
1/28/2026,5,-15
1/29/2026,4.5,-15.27777778
1/30/2026,,-17.77777778
1/31/2026,,-17.77777778
2/1/2026,,-17.77777778
2/2/2026,,-17.77777778
2/3/2026,,-17.77777778
2/4/2026,11,-11.66666667
2/5/2026,,-17.77777778
2/6/2026,,-17.77777778
2/7/2026,,-17.77777778
2/8/2026,,-17.77777778
2/9/2026,,-17.77777778
2/10/2026,,-17.77777778
2/11/2026,,-17.77777778
2/12/2026,,-17.77777778
2/13/2026,,-17.77777778
2/14/2026,,-17.77777778
2/15/2026,,-17.77777778
2/16/2026,,-17.77777778
2/17/2026,,-17.77777778
2/18/2026,,-17.77777778
2/19/2026,,-17.77777778
2/20/2026,,-17.77777778
2/21/2026,,-17.77777778
2/22/2026,,-17.77777778
2/23/2026,,-17.77777778
2/24/2026,,-17.77777778
2/25/2026,,-17.77777778
2/26/2026,,-17.77777778
2/27/2026,30.5,-0.833333333
2/28/2026,,-17.77777778
3/1/2026,,-17.77777778
3/2/2026,,-17.77777778
3/3/2026,,-17.77777778
3/4/2026,,-17.77777778
3/5/2026,,-17.77777778
3/6/2026,,-17.77777778
3/7/2026,,-17.77777778
3/8/2026,,-17.77777778
3/9/2026,,-17.77777778
3/10/2026,,-17.77777778
3/11/2026,,-17.77777778
3/12/2026,33,0.555555556
3/13/2026,34.5,1.388888889
3/14/2026,31,-0.555555556
3/15/2026,27.5,-2.5
3/16/2026,,-17.77777778
3/17/2026,13.5,-10.27777778
3/18/2026,13,-10.55555556
3/19/2026,,-17.77777778
3/20/2026,,-17.77777778
3/21/2026,,-17.77777778
3/22/2026,,-17.77777778
3/23/2026,34.5,1.388888889
3/24/2026,36,2.222222222
3/25/2026,43,6.111111111
3/26/2026,57,13.88888889
3/27/2026,,-17.77777778
3/28/2026,,-17.77777778
3/29/2026,,-17.77777778
3/30/2026,,-17.77777778
3/31/2026,,-17.77777778
4/1/2026,,-17.77777778
4/2/2026,37,2.777777778
4/3/2026,34.5,1.388888889
4/4/2026,36.5,2.5
4/5/2026,35.5,1.944444444
4/6/2026,,-17.77777778
4/7/2026,,-17.77777778
4/8/2026,,-17.77777778
4/9/2026,50,10
4/10/2026,42.5,5.833333333
4/11/2026,44.5,6.944444444
4/12/2026,44.5,6.944444444
4/13/2026,,-17.77777778
4/14/2026,62,16.66666667
4/15/2026,,-17.77777778
4/16/2026,,-17.77777778
4/17/2026,61,16.11111111
4/18/2026,51,10.55555556
4/19/2026,38.5,3.611111111
4/20/2026,38,3.333333333
4/21/2026,45.5,7.5
4/22/2026,,-17.77777778
4/23/2026,,-17.77777778
4/24/2026,,-17.77777778
4/25/2026,,-17.77777778
4/26/2026,,-17.77777778
4/27/2026,56.5,13.61111111
4/28/2026,52,11.11111111
4/29/2026,51,10.55555556
4/30/2026,46.5,8.055555556
5/1/2026,44.5,6.944444444
5/2/2026,45.5,7.5
5/3/2026,51,10.55555556
5/4/2026,,-17.77777778
5/5/2026,,-17.77777778
5/6/2026,42.5,5.833333333
5/7/2026,,-17.77777778
5/8/2026,45,7.222222222
5/9/2026,51,10.55555556
5/10/2026,50,10
5/11/2026,50,10
5/12/2026,54,12.22222222
5/13/2026,59.5,15.27777778
5/14/2026,59,15
5/15/2026,65,18.33333333
5/16/2026,71,21.66666667
5/17/2026,68,20
5/18/2026,60.5,15.83333333
5/19/2026,61,16.11111111
5/20/2026,48,8.888888889
5/21/2026,,-17.77777778
5/22/2026,55.5,13.05555556
5/23/2026,,-17.77777778
5/24/2026,,-17.77777778
5/25/2026,66.5,19.16666667
5/26/2026,73.5,23.05555556
5/27/2026,76.5,24.72222222
5/28/2026,77.5,25.27777778
5/29/2026,73.5,23.05555556
5/30/2026,74.5,23.61111111
5/31/2026,71.5,21.94444444
6/1/2026,,-17.77777778
6/2/2026,69,20.55555556
6/3/2026,71.5,21.94444444
6/4/2026,74,23.33333333
6/5/2026,74,23.33333333
6/6/2026,73,22.77777778
6/7/2026,74,23.33333333
6/8/2026,75,23.88888889
6/9/2026,74.5,23.61111111
6/10/2026,77,25
6/11/2026,77.5,25.27777778
6/12/2026,64,17.77777778
6/13/2026,71,21.66666667
6/14/2026,67,19.44444444
6/15/2026,62.5,16.94444444
6/16/2026,65,18.33333333
6/17/2026,64.5,18.05555556
6/18/2026,,-17.77777778
6/19/2026,,-17.77777778
6/20/2026,,-17.77777778
6/21/2026,66.5,19.16666667
6/22/2026,65.5,18.61111111
6/23/2026,67.5,19.72222222
6/24/2026,67.5,19.72222222
6/25/2026,68,20
6/26/2026,68,20
6/27/2026,67,19.44444444
6/28/2026,70.5,21.38888889
6/29/2026,,-17.77777778
6/30/2026,,-17.77777778
7/1/2026,,-17.77777778
7/2/2026,78,25.55555556
7/3/2026,76,24.44444444
7/4/2026,77,25
7/5/2026,76,24.44444444
7/6/2026,77,25
7/7/2026,77.5,25.27777778
7/8/2026,75.5,24.16666667
7/9/2026,75,23.88888889
7/10/2026,75.5,24.16666667
7/11/2026,77.5,25.27777778
7/12/2026,80.5,26.94444444
7/13/2026,81,27.22222222
7/14/2026,,-17.77777778
7/15/2026,82.5,28.05555556
7/16/2026,83,28.33333333
7/17/2026,83,28.33333333
7/18/2026,83.5,28.61111111
7/19/2026,78,25.55555556
7/20/2026,77,25
7/21/2026,80.5,26.94444444
7/22/2026,70,21.11111111
7/23/2026,64.5,18.05555556
7/24/2026,67,19.44444444
