Date,Precipitation (inches),Snowfall (inches),Snow depth (inches),Maximum Fahrenheit Teperature,Minimum Fahrenheit Teperature ,Mean Fahrenheit Teperature,Mean  Celcius Teperature,,,,,count,717,706,693,627,616,597
10/20/2024,0,0,0,71,53,62,16.66666667,,,,,,,,,,,
10/21/2024,0,0,0,81,51,66,18.88888889,,,,,,,,,,,
10/22/2024,0,0,0,85,56,70.5,21.38888889,,,,,,,,,,,
10/23/2024,0,0,0,74,48,61,16.11111111,,,,,,,,,,,
10/24/2024,0,0,0,57,39,48,8.888888889,,,,,,,,,,,
10/25/2024,0.41,0,0,65,41,53,11.66666667,,,,,,,,,,,
10/26/2024,0,0,0,57,36,46.5,8.055555556,,,,,,,,,,,
10/27/2024,0,0,0,59,35,47,8.333333333,,,,,,,,,,,
10/28/2024,0,0,0,65,43,54,12.22222222,,,,,,,,,,,
10/29/2024,0,0,0,76,46,61,16.11111111,,,,,,,,,,,
10/30/2024,0,0,0,81,57,69,20.55555556,,,,,,,,,,,
10/31/2024,0.13,0,0,72,44,58,14.44444444,,,,,,,,,,,
11/1/2024,1,T,0,44,31,37.5,3.055555556,,,,,,,,,,,
11/2/2024,0,0,0,45,30,37.5,3.055555556,,,,,,,,,,,
11/3/2024,0,0,0,57,,,,,,,,,,,,,,
11/4/2024,0.05,0,0,52,47,49.5,9.722222222,,,,,,,,,,,
11/5/2024,0.32,0,0,61,47,54,12.22222222,,,,,,,,,,,
11/6/2024,0.26,0,0,47,36,41.5,5.277777778,,,,,,,,,,,
11/7/2024,0,0,0,48,28,38,3.333333333,,,,,,,,,,,
11/8/2024,0,0,0,50,36,43,6.111111111,,,,,,,,,,,
11/9/2024,0,0,0,57,35,46,7.777777778,,,,,,,,,,,
11/10/2024,0.13,0,0,53,38,45.5,7.5,,,,,,,,,,,
11/11/2024,0.11,0,0,51,40,45.5,7.5,,,,,,,,,,,
11/12/2024,0,0,0,47,30,38.5,3.611111111,,,,,,,,,,,
11/13/2024,0,0,0,47,30,38.5,3.611111111,,,,,,,,,,,
11/14/2024,0.04,0,0,46,38,42,5.555555556,,,,,,,,,,,
11/15/2024,0,0,0,46,36,41,5,,,,,,,,,,,
11/16/2024,0,0,0,54,34,44,6.666666667,,,,,,,,,,,
11/17/2024,0,0,0,51,41,46,7.777777778,,,,,,,,,,,
11/18/2024,0,0,0,52,34,43,6.111111111,,,,,,,,,,,
11/19/2024,0.9,0,0,55,34,44.5,6.944444444,,,,,,,,,,,
11/20/2024,0,0,0,55,35,45,7.222222222,,,,,,,,,,,
11/21/2024,0.05,0.1,0,35,28,31.5,-0.277777778,,,,,,,,,,,
11/22/2024,0,0,0,41,32,36.5,2.5,,,,,,,,,,,
11/23/2024,0,0,0,37,,,,,,,,,,,,,,
11/24/2024,0,0,0,40,32,36,2.222222222,,,,,,,,,,,
11/25/2024,0,0,0,41,36,38.5,3.611111111,,,,,,,,,,,
11/26/2024,0,0,0,36,19,27.5,-2.5,,,,,,,,,,,
11/27/2024,0,0,0,29,17,23,-5,,,,,,,,,,,
11/28/2024,0,0,0,26,20,23,-5,,,,,,,,,,,
11/29/2024,T,T,0,24,16,20,-6.666666667,,,,,,,,,,,
11/30/2024,0,0,0,21,8,14.5,-9.722222222,,,,,,,,,,,
12/1/2024,0,0,0,17,7,12,-11.11111111,,,,,,,,,,,
12/2/2024,0,0,0,24,8,16,-8.888888889,,,,,,,,,,,
12/3/2024,0.03,0.2,0,22,7,14.5,-9.722222222,,,,,,,,,,,
12/4/2024,0,0,0,31,6,18.5,-7.5,,,,,,,,,,,
12/5/2024,0,0,0,36,7,21.5,-5.833333333,,,,,,,,,,,
12/6/2024,0,0,0,23,5,14,-10,,,,,,,,,,,
12/7/2024,0,0,0,31,20,25.5,-3.611111111,,,,,,,,,,,
12/8/2024,0,0,0,50,21,35.5,1.944444444,,,,,,,,,,,
12/9/2024,0,0,0,42,,,,,,,,,,,,,,
12/10/2024,0,0,0,41,21,31,-0.555555556,,,,,,,,,,,
12/11/2024,T,T,T,,14,,,,,,,,,,,,,
12/12/2024,0,0,0,,-5,,,,,,,,,,,,,
12/13/2024,0,0,0,6,-5,0.5,-17.5,,,,,,,,,,,
12/14/2024,0,0,0,22,-1,10.5,-11.94444444,,,,,,,,,,,
12/15/2024,0,0,0,32,,,,,,,,,,,,,,
12/16/2024,0,0,0,36,,,,,,,,,,,,,,
12/17/2024,0,0,0,40,24,32,0,,,,,,,,,,,
12/18/2024,0,0,0,,24,,,,,,,,,,,,,
12/19/2024,0.11,2,2,25,17,21,-6.111111111,,,,,,,,,,,
12/20/2024,0.06,1,3,24,18,21,-6.111111111,,,,,,,,,,,
12/21/2024,0,0,3,18,-6,6,-14.44444444,,,,,,,,,,,
12/22/2024,0,0,3,24,-7,8.5,-13.05555556,,,,,,,,,,,
12/23/2024,0,0,3,33,23,28,-2.222222222,,,,,,,,,,,
12/24/2024,0,0,3,34,28,31,-0.555555556,,,,,,,,,,,
12/25/2024,0,0,3,32,27,29.5,-1.388888889,,,,,,,,,,,
12/26/2024,0,0,3,31,27,29,-1.666666667,,,,,,,,,,,
12/27/2024,0.05,0,,36,30,33,0.555555556,,,,,,,,,,,
12/28/2024,0.77,0,1,40,36,38,3.333333333,,,,,,,,,,,
12/29/2024,0,0,1,49,35,42,5.555555556,,,,,,,,,,,
12/30/2024,0,0,0,40,,,,,,,,,,,,,,
12/31/2024,0,0,0,39,,,,,,,,,,,,,,
1/1/2025,0,0,0,35,24,29.5,-1.388888889,,,,,,,,,,,
1/2/2025,0,0,0,,20,,,,,,,,,,,,,
1/3/2025,0,0,0,,13,,,,,,,,,,,,,
1/4/2025,0,0,0,18,3,10.5,-11.94444444,,,,,,,,,,,
1/5/2025,0,0,0,13,,,,,,,,,,,,,,
1/6/2025,0,0,0,16,-6,5,-15,,,,,,,,,,,
1/7/2025,0,0,0,21,4,12.5,-10.83333333,,,,,,,,,,,
1/8/2025,0,0,0,20,8,14,-10,,,,,,,,,,,
1/9/2025,0,0,0,21,5,13,-10.55555556,,,,,,,,,,,
1/10/2025,0.04,0.2,T,26,12,19,-7.222222222,,,,,,,,,,,
1/11/2025,0.02,1,1,28,17,22.5,-5.277777778,,,,,,,,,,,
1/12/2025,0.06,2,,29,17,23,-5,,,,,,,,,,,
1/13/2025,0,0,,,-2,,,,,,,,,,,,,
1/14/2025,0,0,2,9,-6,1.5,-16.94444444,,,,,,,,,,,
1/15/2025,0,0,1,8,-7,0.5,-17.5,,,,,,,,,,,
1/16/2025,T,T,1,31,-12,9.5,-12.5,,,,,,,,,,,
1/17/2025,0,0,1,37,26,31.5,-0.277777778,,,,,,,,,,,
1/18/2025,0,0,1,37,9,23,-5,,,,,,,,,,,
1/19/2025,0,0,1,12,-10,1,-17.22222222,,,,,,,,,,,
1/20/2025,0,0,1,-2,-11,-6.5,-21.38888889,,,,,,,,,,,
1/21/2025,0,0,1,-6,-19,-12.5,-24.72222222,,,,,,,,,,,
1/22/2025,0,0,1,18,-18,0,,,,,,,,,,,,
1/23/2025,0,0,1,28,1,14.5,-9.722222222,,,,,,,,,,,
1/24/2025,0,0,1,13,-4,4.5,-15.27777778,,,,,,,,,,,
1/25/2025,0,0,1,29,0,14.5,-9.722222222,,,,,,,,,,,
1/26/2025,0,0,1,27,5,16,-8.888888889,,,,,,,,,,,
1/27/2025,0,0,1,33,,,,,,,,,,,,,,
1/28/2025,0,0,1,36,19,27.5,-2.5,,,,,,,,,,,
1/29/2025,0,0,0,44,23,33.5,0.833333333,,,,,,,,,,,
1/30/2025,0,0,0,,23,,,,,,,,,,,,,
1/31/2025,0,0,0,53,27,40,4.444444444,,,,,,,,,,,
2/1/2025,0,0,0,42,27,34.5,1.388888889,,,,,,,,,,,
2/2/2025,T,T,0,33,26,29.5,-1.388888889,,,,,,,,,,,
2/3/2025,0.07,0.2,T,43,30,36.5,2.5,,,,,,,,,,,
2/4/2025,0,0,0,30,2,16,-8.888888889,,,,,,,,,,,
2/5/2025,0,0,0,10,1,5.5,-14.72222222,,,,,,,,,,,
2/6/2025,0,0,0,25,7,16,-8.888888889,,,,,,,,,,,
2/7/2025,0,0,0,20,7,13.5,-10.27777778,,,,,,,,,,,
2/8/2025,0,0,0,24,6,15,-9.444444444,,,,,,,,,,,
2/9/2025,0.15,2,2,22,-2,10,-12.22222222,,,,,,,,,,,
2/10/2025,0,0,2,17,-5,6,-14.44444444,,,,,,,,,,,
2/11/2025,0,0,,16,-7,4.5,-15.27777778,,,,,,,,,,,
2/12/2025,0,0,1,8,-9,-0.5,-18.05555556,,,,,,,,,,,
2/13/2025,0,0,1,7,-6,0.5,-17.5,,,,,,,,,,,
2/14/2025,0,0,1,9,-6,1.5,-16.94444444,,,,,,,,,,,
2/15/2025,,2,3,21,4,12.5,-10.83333333,,,,,,,,,,,
2/16/2025,0,0,3,22,5,13.5,-10.27777778,,,,,,,,,,,
2/17/2025,0,0,3,11,-9,1,-17.22222222,,,,,,,,,,,
2/18/2025,0,0,3,-1,-15,-8,-22.22222222,,,,,,,,,,,
2/19/2025,0,0,3,7,-13,-3,-19.44444444,,,,,,,,,,,
2/20/2025,0,0,3,8,-10,-1,-18.33333333,,,,,,,,,,,
2/21/2025,0,0,3,22,-2,10,-12.22222222,,,,,,,,,,,
2/22/2025,0,0,3,24,-2,11,-11.66666667,,,,,,,,,,,
2/23/2025,0,0,3,32,6,19,-7.222222222,,,,,,,,,,,
2/24/2025,0,0,1,46,28,37,2.777777778,,,,,,,,,,,
2/25/2025,0,0,0,51,30,40.5,4.722222222,,,,,,,,,,,
2/26/2025,0,0,0,50,30,40,4.444444444,,,,,,,,,,,
2/27/2025,0,0,0,52,35,43.5,6.388888889,,,,,,,,,,,
2/28/2025,0,0,0,53,36,44.5,6.944444444,,,,,,,,,,,
3/1/2025,0,0,0,44,15,29.5,-1.388888889,,,,,,,,,,,
3/2/2025,0,0,0,27,14,20.5,-6.388888889,,,,,,,,,,,
3/3/2025,0,0,0,41,14,27.5,-2.5,,,,,,,,,,,
3/4/2025,0.03,0,0,53,,,,,,,,,,,,,,
3/5/2025,1.07,4,4,53,14,33.5,0.833333333,,,,,,,,,,,
3/6/2025,0.45,5,5,31,18,24.5,-4.166666667,,,,,,,,,,,
3/7/2025,0,0,4,39,,,,,,,,,,,,,,
3/8/2025,0,0,3,42,23,32.5,0.277777778,,,,,,,,,,,
3/9/2025,0,0,3,49,26,37.5,3.055555556,,,,,,,,,,,
3/10/2025,0,0,,54,29,41.5,5.277777778,,,,,,,,,,,
3/11/2025,0,0,,60,30,45,7.222222222,,,,,,,,,,,
3/12/2025,0,0,,40,30,35,1.666666667,,,,,,,,,,,
3/13/2025,0,0,0,55,29,42,5.555555556,,,,,,,,,,,
3/14/2025,0,0,0,63,,,,,,,,,,,,,,
3/15/2025,0.25,0,0,76,44,60,15.55555556,,,,,,,,,,,
3/16/2025,0,0,0,48,22,35,1.666666667,,,,,,,,,,,
3/17/2025,0,0,0,39,20,29.5,-1.388888889,,,,,,,,,,,
3/18/2025,0,0,0,62,,,,,,,,,,,,,,
3/19/2025,0,0,0,49,34,41.5,5.277777778,,,,,,,,,,,
3/20/2025,0,0,0,39,30,34.5,1.388888889,,,,,,,,,,,
3/21/2025,0,0,0,46,28,37,2.777777778,,,,,,,,,,,
3/22/2025,0,0,0,51,23,37,2.777777778,,,,,,,,,,,
3/23/2025,0,0,0,,19,,,,,,,,,,,,,
3/24/2025,T,0,0,48,27,37.5,3.055555556,,,,,,,,,,,
3/25/2025,0,0,0,47,21,34,1.111111111,,,,,,,,,,,
3/26/2025,0,0,0,52,26,39,3.888888889,,,,,,,,,,,
3/27/2025,0.03,0,0,53,,,,,,,,,,,,,,
3/28/2025,0,0,0,60,,,,,,,,,,,,,,
3/29/2025,0.09,0,0,77,30,53.5,11.94444444,,,,,,,,,,,
3/30/2025,1.53,0,0,40,33,36.5,2.5,,,,,,,,,,,
3/31/2025,0.41,0.5,,36,29,32.5,0.277777778,,,,,,,,,,,
4/1/2025,0,0,0,46,28,37,2.777777778,,,,,,,,,,,
4/2/2025,0.18,2,2,46,29,37.5,3.055555556,,,,,,,,,,,
4/3/2025,0.18,0,0,40,36,38,3.333333333,,,,,,,,,,,
4/4/2025,0,0,0,47,30,38.5,3.611111111,,,,,,,,,,,
4/5/2025,0,0,0,50,29,39.5,4.166666667,,,,,,,,,,,
4/6/2025,0,0,0,43,29,36,2.222222222,,,,,,,,,,,
4/7/2025,0,0,0,58,28,43,6.111111111,,,,,,,,,,,
4/8/2025,0,0,0,,24,,,,,,,,,,,,,
4/9/2025,0,0,0,48,24,36,2.222222222,,,,,,,,,,,
4/10/2025,T,0,0,61,,,,,,,,,,,,,,
4/11/2025,0.11,0,0,46,36,41,5,,,,,,,,,,,
4/12/2025,,0,0,55,36,45.5,7.5,,,,,,,,,,,
4/13/2025,0,0,0,67,38,52.5,11.38888889,,,,,,,,,,,
4/14/2025,0,0,0,66,48,57,13.88888889,,,,,,,,,,,
4/15/2025,0.01,T,0,49,41,45,7.222222222,,,,,,,,,,,
4/16/2025,0,0,0,54,34,44,6.666666667,,,,,,,,,,,
4/17/2025,0,0,0,58,34,46,7.777777778,,,,,,,,,,,
4/18/2025,0.3,0,0,73,40,56.5,13.61111111,,,,,,,,,,,
4/19/2025,0.02,0,0,57,40,48.5,9.166666667,,,,,,,,,,,
4/20/2025,0,0,0,54,,,,,,,,,,,,,,
4/21/2025,0.9,0,0,53,,,,,,,,,,,,,,
4/22/2025,0,0,0,61,40,50.5,10.27777778,,,,,,,,,,,
4/23/2025,0.02,0,0,70,46,58,14.44444444,,,,,,,,,,,
4/24/2025,0,0,0,67,45,56,13.33333333,,,,,,,,,,,
4/25/2025,0.55,0,0,53,43,48,8.888888889,,,,,,,,,,,
4/26/2025,0,0,0,56,36,46,7.777777778,,,,,,,,,,,
4/27/2025,0,0,0,61,31,46,7.777777778,,,,,,,,,,,
4/28/2025,0.7,0,0,64,,,,,,,,,,,,,,
4/29/2025,0.4,0,0,71,,,,,,,,,,,,,,
4/30/2025,0,0,0,59,39,49,9.444444444,,,,,,,,,,,
5/1/2025,0,0,0,68,39,53.5,11.94444444,,,,,,,,,,,
5/2/2025,0.35,0,0,62,46,54,12.22222222,,,,,,,,,,,
5/3/2025,0,0,0,50,38,44,6.666666667,,,,,,,,,,,
5/4/2025,0,0,0,67,45,56,13.33333333,,,,,,,,,,,
5/5/2025,0,0,0,80,44,62,16.66666667,,,,,,,,,,,
5/6/2025,0,0,0,75,50,62.5,16.94444444,,,,,,,,,,,
5/7/2025,0,0,0,83,49,66,18.88888889,,,,,,,,,,,
5/8/2025,0,0,0,72,41,56.5,13.61111111,,,,,,,,,,,
5/9/2025,0,0,0,71,46,58.5,14.72222222,,,,,,,,,,,
5/10/2025,0.02,0,0,85,48,66.5,19.16666667,,,,,,,,,,,
5/11/2025,0,0,0,75,47,61,16.11111111,,,,,,,,,,,
5/12/2025,0,0,0,89,55,72,22.22222222,,,,,,,,,,,
5/13/2025,0,0,0,87,46,66.5,19.16666667,,,,,,,,,,,
5/14/2025,0,0,0,85,63,74,23.33333333,,,,,,,,,,,
5/15/2025,0.3,0,0,83,64,73.5,23.05555556,,,,,,,,,,,
5/16/2025,0.8,0,0,84,59,71.5,21.94444444,,,,,,,,,,,
5/17/2025,0.5,0,0,62,46,54,12.22222222,,,,,,,,,,,
5/18/2025,0,0,0,51,45,48,8.888888889,,,,,,,,,,,
5/19/2025,0,0,0,57,38,47.5,8.611111111,,,,,,,,,,,
5/20/2025,0.83,0,0,58,41,49.5,9.722222222,,,,,,,,,,,
5/21/2025,1.4,0,0,46,42,44,6.666666667,,,,,,,,,,,
5/22/2025,0.29,0,0,50,44,47,8.333333333,,,,,,,,,,,
5/23/2025,0,0,0,65,44,54.5,12.5,,,,,,,,,,,
5/24/2025,0,0,0,64,43,53.5,11.94444444,,,,,,,,,,,
5/25/2025,0,0,0,68,43,55.5,13.05555556,,,,,,,,,,,
5/26/2025,0,0,0,70,45,57.5,14.16666667,,,,,,,,,,,
5/27/2025,0,0,0,71,47,59,15,,,,,,,,,,,
5/28/2025,0.05,0,0,64,45,54.5,12.5,,,,,,,,,,,
5/29/2025,0.05,0,0,,55,,,,,,,,,,,,,
5/30/2025,0.04,0,0,73,,,,,,,,,,,,,,
5/31/2025,0,0,0,77,,,,,,,,,,,,,,
6/1/2025,0,0,0,78,,,,,,,,,,,,,,
6/2/2025,0,0,0,82,54,68,20,,,,,,,,,,,
6/3/2025,0.13,0,0,91,61,76,24.44444444,,,,,,,,,,,
6/4/2025,0.8,0,0,62,51,56.5,13.61111111,,,,,,,,,,,
6/5/2025,0,0,0,78,51,64.5,18.05555556,,,,,,,,,,,
6/6/2025,0,0,0,79,47,63,17.22222222,,,,,,,,,,,
6/7/2025,0,0,0,72,57,64.5,18.05555556,,,,,,,,,,,
6/8/2025,0.59,0,0,74,,,,,,,,,,,,,,
6/9/2025,0.06,0,0,72,52,62,16.66666667,,,,,,,,,,,
6/10/2025,0,0,0,67,48,57.5,14.16666667,,,,,,,,,,,
6/11/2025,0,0,0,82,,,,,,,,,,,,,,
6/12/2025,0.02,0,0,77,60,68.5,20.27777778,,,,,,,,,,,
6/13/2025,0.53,0,0,71,54,62.5,16.94444444,,,,,,,,,,,
6/14/2025,0.4,0,0,58,52,55,12.77777778,,,,,,,,,,,
6/15/2025,0,0,0,63,54,58.5,14.72222222,,,,,,,,,,,
6/16/2025,0.02,0,0,73,59,66,18.88888889,,,,,,,,,,,
6/17/2025,0.19,0,0,78,64,71,21.66666667,,,,,,,,,,,
6/18/2025,,0,0,,,,,,,,,,,,,,,
6/19/2025,0,0,0,84,61,72.5,22.5,,,,,,,,,,,
6/20/2025,0.05,0,0,88,61,74.5,23.61111111,,,,,,,,,,,
6/21/2025,0,0,0,85,69,77,25,,,,,,,,,,,
6/22/2025,0,0,0,96,80,88,31.11111111,,,,,,,,,,,
6/23/2025,0.04,0,0,97,,,,,,,,,,,,,,
6/24/2025,0,0,0,83,64,73.5,23.05555556,,,,,,,,,,,
6/25/2025,0,0,0,81,64,72.5,22.5,,,,,,,,,,,
6/26/2025,1.68,0,0,76,62,69,20.55555556,,,,,,,,,,,
6/27/2025,1.55,0,0,66,61,63.5,17.5,,,,,,,,,,,
6/28/2025,0,0,0,75,61,68,20,,,,,,,,,,,
6/29/2025,0.25,0,0,86,65,75.5,24.16666667,,,,,,,,,,,
6/30/2025,0,0,0,85,65,75,23.88888889,,,,,,,,,,,
7/1/2025,0,0,0,82,65,73.5,23.05555556,,,,,,,,,,,
7/2/2025,0,0,0,86,66,76,24.44444444,,,,,,,,,,,
7/3/2025,0,0,0,89,66,77.5,25.27777778,,,,,,,,,,,
7/4/2025,0,0,0,90,70,80,26.66666667,,,,,,,,,,,
