Date,PrecipitationIN,PrecipitationCM
3/12/2026,0,0
3/13/2026,0.12,0.3048
3/14/2026,0,0
3/15/2026,1,2.54
3/16/2026,0.03,0.0762
3/17/2026,0,0
3/18/2026,0.02,0.0508
3/19/2026,0,0
3/20/2026,0,0
3/21/2026,0,0
3/22/2026,0,0
3/23/2026,0,0
3/24/2026,0,0
3/25/2026,0,0
3/26/2026,0,0
3/27/2026,0,0
3/28/2026,0,0
3/29/2026,0,0
3/30/2026,0,0
3/31/2026,0,0
4/1/2026,0,0
4/2/2026,0.42,1.0668
4/3/2026,0.57,1.4478
4/4/2026,0.32,0.8128
4/5/2026,0.01,0.0254
4/6/2026,0,0
4/7/2026,0,0
4/8/2026,0,0
4/9/2026,0,0
4/10/2026,0.11,0.2794
4/11/2026,0,0
4/12/2026,0.36,0.9144
4/13/2026,0,0
4/14/2026,1.1,2.794
4/15/2026,0,0
4/16/2026,0,0
4/17/2026,0,0
4/18/2026,0.1,0.254
4/19/2026,0,0
4/20/2026,0,0
4/21/2026,,0
4/22/2026,0,0
4/23/2026,0,0
4/24/2026,0.25,0.635
4/25/2026,0,0
4/26/2026,0.05,0.127
4/27/2026,0.05,0.127
4/28/2026,0.3,0.762
4/29/2026,0,0
4/30/2026,0,0
5/1/2026,0,0
5/2/2026,0,0
5/3/2026,0,0
5/4/2026,0,0
5/5/2026,0,0
5/6/2026,0,0
5/7/2026,0,0
5/8/2026,0,0
5/9/2026,0,0
5/10/2026,0,0
5/11/2026,0,0
5/12/2026,,0
5/13/2026,0,0
5/14/2026,0,0
5/15/2026,0.15,0.381
5/16/2026,0,0
5/17/2026,0,0
5/18/2026,1.2,3.048
5/19/2026,0.53,1.3462
5/20/2026,0,0
5/21/2026,0,0
5/22/2026,,0
5/23/2026,0.25,0.635
5/24/2026,0.04,0.1016
5/25/2026,0.75,1.905
5/26/2026,0,0
5/27/2026,0,0
5/28/2026,0,0
5/29/2026,0,0
5/30/2026,0,0
5/31/2026,0,0
6/1/2026,0.61,1.5494
6/2/2026,0,0
6/3/2026,0,0
6/4/2026,0,0
6/5/2026,0,0
6/6/2026,0,0
6/7/2026,0,0
6/8/2026,0.19,0.4826
6/9/2026,0,0
6/10/2026,0.12,0.3048
6/11/2026,,0
6/12/2026,0.11,0.2794
6/13/2026,0.29,0.7366
6/14/2026,0,0
6/15/2026,0,0
6/16/2026,,0
6/17/2026,,0
6/18/2026,0.21,0.5334
6/19/2026,0,0
6/20/2026,0,0
6/21/2026,0,0
6/22/2026,0,0
6/23/2026,0,0
6/24/2026,1.83,4.6482
6/25/2026,0,0
6/26/2026,0,0
6/27/2026,0,0
6/28/2026,,0
6/29/2026,,0
6/30/2026,0.14,0.3556
7/1/2026,0.11,0.2794
7/2/2026,0.43,1.0922
7/3/2026,0.24,0.6096
7/4/2026,0,0
7/5/2026,0.1,0.254
7/6/2026,0,0
7/7/2026,0.54,1.3716
7/8/2026,0,0
7/9/2026,0,0
7/10/2026,0,0
7/11/2026,0,0
7/12/2026,0,0
7/13/2026,0,0
7/14/2026,0,0
7/15/2026,0,0
7/16/2026,,0
7/17/2026,,0
7/18/2026,0,0
7/19/2026,0,0
7/20/2026,1.45,3.683
7/21/2026,0.12,0.3048
7/22/2026,0,0
7/23/2026,0,0
