#,Date-Time (CST/CDT),"Temperature (W-CT 22414702), °C","Electrical Conductivity (W-CT 22414702), µS/cm","Specific Conductivity (W-CT 22414702), µS/cm","Salinity (W-CT 22414702), PSU","Total Dissolved Solids (W-CT 22414702), mg/L"
101,01/28/2026 16:14:59,7.09,457.6,733.4,0.34,297.43
102,01/28/2026 16:29:59,7.16,457.0,730.9,0.34,297.08
103,01/28/2026 16:44:59,7.06,457.0,733.4,0.34,297.06
104,01/28/2026 16:59:59,7.04,457.2,734.2,0.34,297.20
105,01/28/2026 17:14:59,7.07,457.7,734.2,0.34,297.53
106,01/28/2026 17:29:59,7.06,456.7,732.8,0.34,296.85
107,01/28/2026 17:44:59,7.04,456.2,732.5,0.34,296.52
108,01/28/2026 17:59:59,7.03,456.7,733.6,0.34,296.88
109,01/28/2026 18:14:59,7.10,458.0,734.0,0.34,297.73
110,01/28/2026 18:29:59,7.00,456.9,734.5,0.34,296.97
111,01/28/2026 18:44:59,7.09,457.0,732.4,0.34,297.03
112,01/28/2026 18:59:59,7.03,457.4,734.7,0.34,297.32
113,01/28/2026 19:14:59,7.06,456.5,732.6,0.34,296.73
114,01/28/2026 19:29:59,7.01,455.9,732.7,0.34,296.33
115,01/28/2026 19:44:59,7.06,456.8,732.9,0.34,296.89
116,01/28/2026 19:59:59,6.99,457.1,735.1,0.34,297.12
117,01/28/2026 20:14:59,7.07,457.6,733.8,0.34,297.41
118,01/28/2026 20:29:59,7.03,457.6,735.0,0.34,297.44
119,01/28/2026 20:44:59,7.09,457.2,732.9,0.34,297.17
120,01/28/2026 20:59:59,7.09,456.8,732.1,0.34,296.92
121,01/28/2026 21:14:59,7.09,457.4,733.1,0.34,297.31
122,01/28/2026 21:29:59,7.03,456.9,733.7,0.34,296.98
123,01/28/2026 21:44:59,7.05,457.0,733.5,0.34,297.07
124,01/28/2026 21:59:59,7.03,457.4,734.6,0.34,297.31
125,01/28/2026 22:14:59,7.02,457.6,735.1,0.34,297.44
126,01/28/2026 22:29:59,7.04,457.3,734.2,0.34,297.25
127,01/28/2026 22:44:59,7.08,457.2,733.0,0.34,297.19
128,01/28/2026 22:59:59,7.03,456.8,733.7,0.34,296.95
129,01/28/2026 23:14:59,7.02,456.6,733.6,0.34,296.80
130,01/28/2026 23:29:59,7.08,456.8,732.4,0.34,296.91
131,01/28/2026 23:44:59,7.08,456.9,732.7,0.34,297.02
132,01/28/2026 23:59:59,7.05,457.8,734.7,0.34,297.55
133,01/29/2026 00:14:59,7.08,457.1,733.0,0.34,297.13
134,01/29/2026 00:29:59,7.06,456.9,733.0,0.34,296.95
135,01/29/2026 00:44:59,7.02,457.4,734.7,0.34,297.29
136,01/29/2026 00:59:59,7.01,457.0,734.3,0.34,297.05
137,01/29/2026 01:14:59,7.07,457.1,733.1,0.34,297.13
138,01/29/2026 01:29:59,7.04,456.5,733.0,0.34,296.75
139,01/29/2026 01:44:59,7.01,456.2,733.1,0.34,296.50
140,01/29/2026 01:59:59,7.10,457.3,732.7,0.34,297.23
141,01/29/2026 02:14:59,7.04,457.9,735.1,0.34,297.62
142,01/29/2026 02:29:59,7.07,457.4,733.6,0.34,297.30
143,01/29/2026 02:44:59,7.02,456.8,733.8,0.34,296.91
144,01/29/2026 02:59:59,6.99,457.1,735.1,0.34,297.11
145,01/29/2026 03:14:59,7.02,456.8,733.8,0.34,296.91
146,01/29/2026 03:29:59,7.04,457.1,733.8,0.34,297.11
147,01/29/2026 03:44:59,6.95,456.2,734.8,0.34,296.55
148,01/29/2026 03:59:59,7.04,456.5,732.9,0.34,296.75
149,01/29/2026 04:14:59,7.06,456.8,732.9,0.34,296.89
150,01/29/2026 04:29:59,7.02,456.5,733.4,0.34,296.71
151,01/29/2026 04:44:59,7.03,456.7,733.4,0.34,296.84
152,01/29/2026 04:59:59,6.98,457.0,735.2,0.34,297.05
153,01/29/2026 05:14:59,6.98,456.6,734.6,0.34,296.80
154,01/29/2026 05:29:59,7.01,457.5,735.5,0.34,297.40
155,01/29/2026 05:44:59,7.02,457.4,734.8,0.34,297.32
156,01/29/2026 05:59:59,7.10,456.8,732.0,0.34,296.92
157,01/29/2026 06:14:59,6.98,456.5,734.4,0.34,296.72
158,01/29/2026 06:29:59,7.02,457.2,734.5,0.34,297.15
159,01/29/2026 06:44:59,7.01,457.1,734.8,0.34,297.11
160,01/29/2026 06:59:59,6.92,456.5,735.9,0.34,296.75
161,01/29/2026 07:14:59,6.99,457.1,735.1,0.34,297.14
162,01/29/2026 07:29:59,7.00,456.6,734.1,0.34,296.80
163,01/29/2026 07:44:59,7.01,457.2,734.9,0.34,297.15
164,01/29/2026 07:59:59,7.02,456.4,733.3,0.34,296.67
165,01/29/2026 08:14:59,6.98,457.0,735.3,0.34,297.05
166,01/29/2026 08:29:59,7.03,456.7,733.5,0.34,296.86
167,01/29/2026 08:44:59,6.97,457.5,736.3,0.34,297.38
168,01/29/2026 08:59:59,7.02,456.8,734.0,0.34,296.94
169,01/29/2026 09:14:59,6.97,457.1,735.7,0.34,297.12
170,01/29/2026 09:29:59,7.00,456.5,733.9,0.34,296.70
171,01/29/2026 09:44:59,6.99,456.6,734.3,0.34,296.77
172,01/29/2026 09:59:59,7.03,456.1,732.6,0.34,296.47
173,01/29/2026 10:14:59,7.00,456.6,734.2,0.34,296.79
174,01/29/2026 10:29:59,6.99,456.3,733.9,0.34,296.63
175,01/29/2026 10:44:59,6.97,457.4,736.0,0.34,297.32
176,01/29/2026 10:59:59,6.97,457.0,735.3,0.34,297.03
177,01/29/2026 11:14:59,7.01,456.3,733.4,0.34,296.61
178,01/29/2026 11:29:59,6.95,456.5,735.0,0.34,296.72
179,01/29/2026 11:44:59,7.00,455.7,732.6,0.34,296.23
180,01/29/2026 11:59:59,6.91,456.3,735.9,0.34,296.61
181,01/29/2026 12:14:59,6.99,456.6,734.3,0.34,296.77
182,01/29/2026 12:29:59,6.94,457.2,736.6,0.34,297.21
183,01/29/2026 12:44:59,6.93,455.6,734.1,0.34,296.11
184,01/29/2026 12:59:59,6.95,456.3,734.8,0.34,296.60
185,01/29/2026 13:14:59,6.98,456.2,733.9,0.34,296.53
186,01/29/2026 13:29:59,6.95,455.9,734.1,0.34,296.33
187,01/29/2026 13:44:59,6.90,456.2,736.0,0.34,296.52
188,01/29/2026 13:59:59,6.98,456.3,734.0,0.34,296.58
189,01/29/2026 14:14:59,6.99,456.4,734.1,0.34,296.66
190,01/29/2026 14:29:59,6.91,456.0,735.2,0.34,296.38
191,01/29/2026 14:44:59,6.90,456.1,735.8,0.34,296.50
192,01/29/2026 14:59:59,6.91,456.6,736.3,0.34,296.77
193,01/29/2026 15:14:59,6.91,456.7,736.5,0.34,296.86
194,01/29/2026 15:29:59,6.98,457.0,735.3,0.34,297.04
195,01/29/2026 15:44:59,6.97,456.7,735.0,0.34,296.85
196,01/29/2026 15:59:59,6.93,455.8,734.6,0.34,296.29
197,01/29/2026 16:14:59,6.96,456.0,734.1,0.34,296.39
198,01/29/2026 16:29:59,6.99,457.1,735.1,0.34,297.09
199,01/29/2026 16:44:59,6.96,456.1,734.2,0.34,296.50
200,01/29/2026 16:59:59,6.96,456.2,734.5,0.34,296.53
201,01/29/2026 17:14:59,6.95,456.9,736.0,0.34,297.01
202,01/29/2026 17:29:59,6.99,456.6,734.4,0.34,296.77
203,01/29/2026 17:44:59,6.98,456.8,734.9,0.34,296.89
204,01/29/2026 17:59:59,6.97,456.8,735.3,0.34,296.95
205,01/29/2026 18:14:59,6.96,457.3,736.2,0.34,297.26
206,01/29/2026 18:29:59,6.93,456.9,736.4,0.34,297.00
207,01/29/2026 18:44:59,6.95,457.0,736.0,0.34,297.03
208,01/29/2026 18:59:59,6.98,456.5,734.3,0.34,296.71
209,01/29/2026 19:14:59,6.96,456.5,734.9,0.34,296.75
210,01/29/2026 19:29:59,6.94,456.4,735.3,0.34,296.67
211,01/29/2026 19:44:59,6.95,457.0,735.8,0.34,297.04
212,01/29/2026 19:59:59,6.92,456.9,736.5,0.34,296.96
213,01/29/2026 20:14:59,6.95,456.0,734.3,0.34,296.38
214,01/29/2026 20:29:59,6.94,456.6,735.6,0.34,296.81
215,01/29/2026 20:44:59,6.96,456.0,734.1,0.34,296.39
216,01/29/2026 20:59:59,6.94,456.4,735.2,0.34,296.65
217,01/29/2026 21:14:59,6.92,456.7,736.3,0.34,296.84
218,01/29/2026 21:29:59,6.96,456.0,734.0,0.34,296.37
219,01/29/2026 21:44:59,6.97,456.8,735.1,0.34,296.89
220,01/29/2026 21:59:59,6.95,456.5,735.1,0.34,296.73
221,01/29/2026 22:14:59,6.90,456.9,737.0,0.34,296.96
222,01/29/2026 22:29:59,6.97,455.9,733.8,0.34,296.35
223,01/29/2026 22:44:59,6.97,456.2,734.2,0.34,296.53
224,01/29/2026 22:59:59,7.00,456.8,734.5,0.34,296.93
225,01/29/2026 23:14:59,6.97,456.7,735.0,0.34,296.85
226,01/29/2026 23:29:59,6.92,455.4,734.0,0.34,295.99
227,01/29/2026 23:44:59,6.95,456.8,735.5,0.34,296.89
228,01/29/2026 23:59:59,6.95,456.8,735.6,0.34,296.94
229,01/30/2026 00:14:59,6.93,456.9,736.2,0.34,296.96
230,01/30/2026 00:29:59,6.87,455.2,735.1,0.34,295.88
231,01/30/2026 00:44:59,6.89,456.3,736.4,0.34,296.61
232,01/30/2026 00:59:59,6.92,456.2,735.4,0.34,296.51
233,01/30/2026 01:14:59,6.92,456.8,736.2,0.34,296.89
234,01/30/2026 01:29:59,6.94,456.3,735.0,0.34,296.57
235,01/30/2026 01:44:59,6.91,456.7,736.4,0.34,296.87
236,01/30/2026 01:59:59,6.89,456.6,736.9,0.34,296.79
237,01/30/2026 02:14:59,6.89,456.0,735.7,0.34,296.39
238,01/30/2026 02:29:59,6.99,456.5,734.1,0.34,296.71
239,01/30/2026 02:44:59,6.92,455.7,734.6,0.34,296.21
240,01/30/2026 02:59:59,6.93,456.2,735.1,0.34,296.52
241,01/30/2026 03:14:59,6.89,456.3,736.3,0.34,296.62
242,01/30/2026 03:29:59,6.98,456.5,734.4,0.34,296.70
243,01/30/2026 03:44:59,6.97,456.4,734.3,0.34,296.64
244,01/30/2026 03:59:59,6.94,456.5,735.3,0.34,296.69
245,01/30/2026 04:14:59,6.94,456.0,734.7,0.34,296.42
246,01/30/2026 04:29:59,6.89,455.9,735.6,0.34,296.30
247,01/30/2026 04:44:59,6.95,456.3,735.0,0.34,296.60
248,01/30/2026 04:59:59,6.88,456.1,736.3,0.34,296.46
249,01/30/2026 05:14:59,6.93,456.6,735.7,0.34,296.78
250,01/30/2026 05:29:59,6.88,456.7,737.3,0.34,296.86
251,01/30/2026 05:44:59,6.87,455.8,736.0,0.34,296.26
252,01/30/2026 05:59:59,6.90,456.2,735.9,0.34,296.53
253,01/30/2026 06:14:59,6.87,456.6,737.2,0.34,296.76
254,01/30/2026 06:29:59,6.90,456.6,736.4,0.34,296.77
255,01/30/2026 06:44:59,6.88,455.8,735.8,0.34,296.28
256,01/30/2026 06:59:59,6.91,455.3,734.3,0.34,295.97
257,01/30/2026 07:14:59,6.94,455.7,734.0,0.34,296.18
258,01/30/2026 07:29:59,6.90,455.7,735.2,0.34,296.24
259,01/30/2026 07:44:59,6.90,455.7,735.1,0.34,296.24
260,01/30/2026 07:59:59,6.88,455.7,735.6,0.34,296.19
261,01/30/2026 08:14:59,6.93,456.1,735.0,0.34,296.44
262,01/30/2026 08:29:59,6.92,457.0,736.8,0.34,297.07
263,01/30/2026 08:44:59,6.92,456.3,735.5,0.34,296.57
264,01/30/2026 08:59:59,6.89,456.7,736.8,0.34,296.84
265,01/30/2026 09:14:59,6.90,456.7,736.7,0.34,296.86
266,01/30/2026 09:29:59,6.92,457.0,736.8,0.34,297.05
267,01/30/2026 09:44:59,6.90,456.0,735.6,0.34,296.43
268,01/30/2026 09:59:59,6.84,455.3,735.9,0.34,295.91
269,01/30/2026 10:14:59,6.85,456.1,736.9,0.34,296.47
270,01/30/2026 10:29:59,6.90,455.5,734.8,0.34,296.10
271,01/30/2026 10:44:59,6.83,454.8,735.4,0.34,295.60
272,01/30/2026 10:59:59,6.95,456.4,735.0,0.34,296.66
273,01/30/2026 11:14:59,6.85,456.0,736.8,0.34,296.37
274,01/30/2026 11:29:59,6.88,456.4,736.8,0.34,296.69
275,01/30/2026 11:44:59,6.83,455.6,736.8,0.34,296.16
276,01/30/2026 11:59:59,6.91,456.1,735.5,0.34,296.44
277,01/30/2026 12:14:59,6.89,456.5,736.5,0.34,296.70
278,01/30/2026 12:29:59,6.87,455.9,736.1,0.34,296.31
279,01/30/2026 12:44:59,6.86,455.2,735.2,0.34,295.85
280,01/30/2026 12:59:59,6.85,455.7,736.4,0.34,296.20
281,01/30/2026 13:14:59,6.85,455.2,735.5,0.34,295.85
282,01/30/2026 13:29:59,6.87,456.2,736.7,0.34,296.56
283,01/30/2026 13:44:59,6.89,456.6,736.8,0.34,296.80
284,01/30/2026 13:59:59,6.85,456.4,737.4,0.34,296.67
285,01/30/2026 14:14:59,6.94,456.2,735.0,0.34,296.50
286,01/30/2026 14:29:59,6.90,456.6,736.5,0.34,296.77
287,01/30/2026 14:44:59,6.84,456.1,737.2,0.34,296.47
288,01/30/2026 14:59:59,6.89,456.8,737.2,0.34,296.90
289,01/30/2026 15:14:59,6.88,456.8,737.4,0.34,296.93
290,01/30/2026 15:29:59,6.89,455.9,735.7,0.34,296.33
291,01/30/2026 15:44:59,6.85,456.0,736.9,0.34,296.39
292,01/30/2026 15:59:59,6.83,456.0,737.5,0.34,296.43
293,01/30/2026 16:14:59,6.81,455.8,737.6,0.34,296.28
294,01/30/2026 16:29:59,6.82,456.3,738.2,0.34,296.61
295,01/30/2026 16:44:59,6.91,456.9,736.7,0.34,296.97
296,01/30/2026 16:59:59,6.81,456.1,738.1,0.34,296.49
297,01/30/2026 17:14:59,6.85,456.0,736.8,0.34,296.43
298,01/30/2026 17:29:59,6.85,456.3,737.4,0.34,296.62
299,01/30/2026 17:44:59,6.89,455.9,735.7,0.34,296.31
300,01/30/2026 17:59:59,6.86,455.7,736.2,0.34,296.19
301,01/30/2026 18:14:59,6.81,455.6,737.2,0.34,296.11
302,01/30/2026 18:29:59,6.86,455.7,736.0,0.34,296.18
303,01/30/2026 18:44:59,6.85,455.3,735.8,0.34,295.94
304,01/30/2026 18:59:59,6.89,456.6,736.7,0.34,296.77
305,01/30/2026 19:14:59,6.85,456.1,737.0,0.34,296.44
306,01/30/2026 19:29:59,6.88,455.4,735.1,0.34,295.98
307,01/30/2026 19:44:59,6.83,455.2,736.0,0.34,295.87
308,01/30/2026 19:59:59,6.94,456.5,735.3,0.34,296.71
309,01/30/2026 20:14:59,6.85,456.2,737.1,0.34,296.54
310,01/30/2026 20:29:59,6.85,456.5,737.6,0.34,296.71
311,01/30/2026 20:44:59,6.83,455.4,736.5,0.34,296.02
312,01/30/2026 20:59:59,6.85,456.1,737.0,0.34,296.46
313,01/30/2026 21:14:59,6.82,455.8,737.1,0.34,296.24
314,01/30/2026 21:29:59,6.90,456.3,736.1,0.34,296.62
315,01/30/2026 21:44:59,6.86,456.4,737.1,0.34,296.63
316,01/30/2026 21:59:59,6.82,456.6,738.5,0.34,296.76
317,01/30/2026 22:14:59,6.84,455.9,737.0,0.34,296.33
318,01/30/2026 22:29:59,6.89,456.2,736.0,0.34,296.50
319,01/30/2026 22:44:59,6.86,456.5,737.5,0.34,296.71
320,01/30/2026 22:59:59,6.86,456.1,736.6,0.34,296.44
321,01/30/2026 23:14:59,6.89,456.3,736.3,0.34,296.59
322,01/30/2026 23:29:59,6.81,454.7,735.7,0.34,295.58
323,01/30/2026 23:44:59,6.81,454.5,735.3,0.34,295.42
324,01/30/2026 23:59:59,6.86,455.7,736.1,0.34,296.24
325,01/31/2026 00:14:59,6.80,454.9,736.2,0.34,295.68
326,01/31/2026 00:29:59,6.89,455.6,735.1,0.34,296.13
327,01/31/2026 00:44:59,6.89,456.0,735.9,0.34,296.38
328,01/31/2026 00:59:59,6.82,456.2,738.0,0.34,296.52
329,01/31/2026 01:14:59,6.82,455.1,736.2,0.34,295.78
330,01/31/2026 01:29:59,6.83,456.1,737.4,0.34,296.45
331,01/31/2026 01:44:59,6.87,455.8,735.9,0.34,296.25
332,01/31/2026 01:59:59,6.86,455.9,736.5,0.34,296.34
333,01/31/2026 02:14:59,6.80,456.2,738.4,0.34,296.52
334,01/31/2026 02:29:59,6.83,455.9,737.2,0.34,296.34
335,01/31/2026 02:44:59,6.83,455.9,737.1,0.34,296.36
336,01/31/2026 02:59:59,6.85,456.3,737.3,0.34,296.60
337,01/31/2026 03:14:59,6.83,455.5,736.6,0.34,296.05
338,01/31/2026 03:29:59,6.87,455.7,736.0,0.34,296.22
339,01/31/2026 03:44:59,6.84,455.0,735.5,0.34,295.77
340,01/31/2026 03:59:59,6.80,455.0,736.4,0.34,295.75
341,01/31/2026 04:14:59,6.81,455.5,737.0,0.34,296.06
342,01/31/2026 04:29:59,6.84,454.8,735.2,0.34,295.65
343,01/31/2026 04:44:59,6.79,455.6,737.7,0.34,296.12
344,01/31/2026 04:59:59,6.82,456.1,737.7,0.34,296.45
345,01/31/2026 05:14:59,6.78,455.4,737.5,0.34,295.98
346,01/31/2026 05:29:59,6.85,455.9,736.7,0.34,296.33
347,01/31/2026 05:44:59,6.83,456.1,737.5,0.34,296.45
348,01/31/2026 05:59:59,6.81,456.0,737.9,0.34,296.40
349,01/31/2026 06:14:59,6.83,456.1,737.6,0.34,296.44
350,01/31/2026 06:29:59,6.82,456.1,737.6,0.34,296.44
351,01/31/2026 06:44:59,6.81,456.1,737.9,0.34,296.46
352,01/31/2026 06:59:59,6.85,456.2,737.1,0.34,296.51
353,01/31/2026 07:14:59,6.85,455.7,736.5,0.34,296.24
354,01/31/2026 07:29:59,6.85,455.8,736.5,0.34,296.27
355,01/31/2026 07:44:59,6.82,456.1,737.7,0.34,296.47
356,01/31/2026 07:59:59,6.81,455.8,737.7,0.34,296.30
357,01/31/2026 08:14:59,6.83,455.4,736.3,0.34,295.98
358,01/31/2026 08:29:59,6.87,455.8,736.1,0.34,296.26
359,01/31/2026 08:44:59,6.78,455.5,737.7,0.34,296.05
360,01/31/2026 08:59:59,6.83,455.1,736.0,0.34,295.84
361,01/31/2026 09:14:59,6.81,454.5,735.5,0.34,295.44
362,01/31/2026 09:29:59,6.81,454.8,736.1,0.34,295.65
363,01/31/2026 09:44:59,6.79,455.6,737.7,0.34,296.14
364,01/31/2026 09:59:59,6.84,456.0,737.1,0.34,296.39
365,01/31/2026 10:14:59,6.80,456.0,738.2,0.34,296.42
366,01/31/2026 10:29:59,6.77,454.8,736.9,0.34,295.63
367,01/31/2026 10:44:59,6.77,455.0,737.4,0.34,295.76
368,01/31/2026 10:59:59,6.84,456.2,737.3,0.34,296.51
369,01/31/2026 11:14:59,6.80,455.7,737.7,0.34,296.23
370,01/31/2026 11:29:59,6.79,454.7,736.2,0.34,295.53
371,01/31/2026 11:44:59,6.81,453.8,734.5,0.34,295.00
372,01/31/2026 11:59:59,6.77,454.1,735.6,0.34,295.14
373,01/31/2026 12:14:59,6.77,455.3,737.9,0.34,295.97
374,01/31/2026 12:29:59,6.81,454.4,735.4,0.34,295.38
375,01/31/2026 12:44:59,6.76,455.3,737.9,0.34,295.94
376,01/31/2026 12:59:59,6.85,455.1,735.3,0.34,295.80
377,01/31/2026 13:14:59,6.79,455.7,737.7,0.34,296.19
378,01/31/2026 13:29:59,6.70,453.2,736.0,0.34,294.56
379,01/31/2026 13:44:59,6.64,452.3,736.0,0.34,293.99
380,01/31/2026 13:59:59,6.67,451.6,734.2,0.34,293.55
381,01/31/2026 14:14:59,6.60,451.2,735.4,0.34,293.31
382,01/31/2026 14:29:59,6.72,451.5,732.8,0.34,293.45
383,01/31/2026 14:44:59,6.62,450.5,733.7,0.34,292.85
384,01/31/2026 14:59:59,6.63,450.3,733.1,0.34,292.71
385,01/31/2026 15:14:59,6.60,451.4,735.6,0.34,293.42
386,01/31/2026 15:29:59,6.69,451.0,732.8,0.34,293.13
387,01/31/2026 15:44:59,6.66,451.1,733.7,0.34,293.19
388,01/31/2026 15:59:59,6.64,450.9,733.9,0.34,293.09
389,01/31/2026 16:14:59,6.66,450.9,733.3,0.34,293.09
390,01/31/2026 16:29:59,6.63,450.8,733.8,0.34,293.00
391,01/31/2026 16:44:59,6.66,451.7,734.6,0.34,293.57
392,01/31/2026 16:59:59,6.57,450.6,735.1,0.34,292.92
