SampleID,Flouride,Chloride,Nitrite,Bromide,Nitrate,Phosphate,Sulfate,Well ,PumpTest_Creek,Date,Month,Day,Year,SampleNum,MeasurementDate
P1B3 05/12,0.4992,36.5699,n.a.,n.a.,10.8154,n.a.,35.0101,P1,B,05/12,05,12,2025,3,05/27/25
P1A1 05/12,0.5558,35.7297,n.a.,n.a.,12.1736,n.a.,30.5504,P1,A,05/12,05,12,2025,1,05/27/25
P1A2 05/12,0.5433,30.6226,n.a.,n.a.,9.4797,n.a.,21.3729,P1,A,05/12,05,12,2025,2,05/27/25
P2A3 05/12,0.466,34.8212,n.a.,n.a.,12.5073,n.a.,30.2311,P2,A,05/12,05,12,2025,3,05/27/25
P1A2 05/26,0.5696,32.6007,n.a.,n.a.,12.4847,n.a.,32.0415,P1,A,05/26,05,26,2025,2,05/28/25
P2A2 04/16,0.4016,12.5549,n.a.,1.3079,4.3621,n.a.,16.2536,P2,A,04/16,04,16,2025,2,05/28/25
P2A2 04/21,0.4625,15.4074,n.a.,1.2872,6.2402,n.a.,23.5103,P2,A,04/21,04,21,2025,2,05/28/25
P2A2 04/28,0.4359,9.1511,n.a.,n.a.,4.2444,n.a.,13.129,P2,A,04/28,04,28,2025,2,05/28/25
P2A2 05/26,0.6817,23.781,n.a.,n.a.,12.6039,n.a.,41.2577,P2,A,05/26,05,26,2025,2,05/28/25
P2B2 05/12,0.5017,23.6587,n.a.,n.a.,2.1209,n.a.,30.8132,P2,B,05/12,05,12,2025,2,05/28/25
P3B2 04/21,0.4311,14.7089,1.8573,n.a.,7.5166,n.a.,42.7533,P3,B,04/21,04,21,2025,2,05/28/25
P3A1 04/28,0.4957,16.8017,n.a.,n.a.,44.589,n.a.,50.3027,P3,A,04/28,04,28,2025,1,05/28/25
P3A2 05/12,0.517,17.2475,n.a.,n.a.,46.9257,n.a.,52.4214,P3,A,05/12,05,12,2025,2,05/28/25
P3A2 05/26,0.3862,4.3787,0.7789,1.2121,11.7765,n.a.,12.4079,P3,A,05/26,05,26,2025,2,05/28/25
P4B2 04/14,0.4209,31.3239,n.a.,n.a.,1.8954,n.a.,40.6378,P4,B,04/14,04,14,2025,2,05/28/25
P4A1 04/21,0.4604,32.1197,n.a.,n.a.,2.2362,n.a.,41.6089,P4,A,04/21,04,21,2025,1,05/28/25
P5B2 04/14,0.561,21.2886,n.a.,n.a.,3.8027,n.a.,51.1701,P5,B,04/14,04,14,2025,2,05/28/25
P5B2 04/21,0.5237,19.024,n.a.,n.a.,3.1974,n.a.,51.0708,P5,B,04/21,04,21,2025,2,05/28/25
P5B2 04/28,0.5431,18.8344,n.a.,n.a.,3.4167,n.a.,52.0514,P5,B,04/28,04,28,2025,2,05/28/25
P3C1 05/26,0.4811,30.7941,3.0545,n.a.,29.856,n.a.,37.1596,P3,C,05/26,05,26,2025,1,05/28/25
P1C1 05/26,0.4798,28.1178,2.6481,n.a.,28.3752,n.a.,36.2768,P1,C,05/26,05,26,2025,1,05/28/25
P5C1 05/26,0.4869,30.7152,2.9002,n.a.,27.9819,n.a.,35.2402,P5,C,05/26,05,26,2025,1,05/28/25
P2A2 05/26,0.6719,24.1421,n.a.,n.a.,12.7524,n.a.,41.7896,P2,A,05/26,05,26,2025,2,05/28/25
P2B2 05/12,0.4753,23.8053,n.a.,n.a.,1.0025,n.a.,30.9003,P2,B,05/12,05,12,2025,2,05/28/25
P4B2 04/14,0.4153,31.7927,n.a.,n.a.,1.0649,n.a.,41.3405,P4,B,04/14,04,14,2025,2,05/28/25
P4A1 04/21,0.465,31.8288,n.a.,n.a.,1.0847,n.a.,41.0652,P4,A,04/21,04,21,2025,1,05/28/25
P1C1 05/26,0.4803,28.1585,2.6359,n.a.,28.6072,n.a.,36.1285,P1,C,05/26,05,26,2025,1,05/28/25
P5C1 05/26,0.49,30.5353,2.9005,n.a.,27.8199,n.a.,34.8549,P5,C,05/26,05,26,2025,1,05/28/25
P1B1 04/16,0.4256,43.775,n.a.,n.a.,10.7395,n.a.,33.749,P1,B,04/16,04,16,2025,1,10/08/25
P1A1 04/16,0.4152,39.5807,n.a.,n.a.,11.5973,n.a.,30.3147,P1,A,04/16,04,16,2025,1,10/08/25
P1B1 04/21,0.4171,41.1377,n.a.,n.a.,10.6718,n.a.,33.1375,P1,B,04/21,04,21,2025,1,10/08/25
P1A1 04/21,n.a.,20.7717,n.a.,n.a.,10.9219,n.a.,19.2199,P1,A,04/21,04,21,2025,1,10/08/25
P1B1 04/28,n.a.,37.3869,n.a.,n.a.,10.3065,n.a.,32.0416,P1,B,04/28,04,28,2025,1,10/08/25
P1A1 04/28,n.a.,35.3347,n.a.,n.a.,10.31,n.a.,26.9757,P1,A,04/28,04,28,2025,1,10/08/25
P1B1 05/12,n.a.,32.6278,n.a.,n.a.,8.4406,n.a.,29.8156,P1,B,05/12,05,12,2025,1,10/08/25
P1A1 05/12,n.a.,37.3387,n.a.,n.a.,10.8188,n.a.,30.666,P1,A,05/12,05,12,2025,1,10/08/25
P1C1 06/02,n.a.,25.2853,n.a.,n.a.,12.144,n.a.,28.3914,P1,C,06/02,06,02,2025,1,10/08/25
P1B1 06/02,0.4186,35.8582,n.a.,n.a.,9.4447,n.a.,34.5261,P1,B,06/02,06,02,2025,1,10/08/25
P1B1 09/16,0.5014,22.3741,n.a.,n.a.,9.6814,n.a.,23.4492,P1,B,09/16,09,16,2025,1,10/08/25
P1A1 09/16,0.5838,30.5804,n.a.,n.a.,9.9968,n.a.,35.5301,P1,A,09/16,09,16,2025,1,10/08/25
P1C1 09/16,0.5178,27.8981,n.a.,n.a.,11.8036,n.a.,33.6897,P1,C,09/16,09,16,2025,1,10/08/25
P1B1 09/30,0.6292,33.0033,n.a.,n.a.,10.0249,n.a.,33.1818,P1,B,09/30,09,30,2025,1,10/08/25
P1A1 09/30,0.4376,29.4573,n.a.,n.a.,9.9402,n.a.,33.2505,P1,A,09/30,09,30,2025,1,10/08/25
P1C1 09/30,0.4951,26.4541,n.a.,n.a.,12.1853,n.a.,34.9848,P1,C,09/30,09,30,2025,1,10/08/25
P1B1 10/07,0.5785,34.4834,n.a.,n.a.,9.9592,n.a.,35.5794,P1,B,10/07,10,07,2025,1,10/08/25
P1A1 10/07,0.5543,19.8917,n.a.,n.a.,9.3896,n.a.,25.1839,P1,A,10/07,10,07,2025,1,10/08/25
P1C1 10/07,0.9126,25.702,n.a.,n.a.,9.549,n.a.,31.3862,P1,C,10/07,10,07,2025,1,10/08/25
P2B1 04/16,1.1058,13.3675,n.a.,n.a.,n.a.,n.a.,10.6006,P2,B,04/16,04,16,2025,1,10/09/25
P2A1 04/16,1.0197,17.3816,n.a.,n.a.,5.7111,n.a.,25.061,P2,A,04/16,04,16,2025,1,10/09/25
P2B1 04/21,1.0325,16.834,n.a.,n.a.,4.8872,n.a.,23.4429,P2,B,04/21,04,21,2025,1,10/09/25
P2A1 04/21,1.0372,19.6005,n.a.,n.a.,4.3813,n.a.,32.7723,P2,A,04/21,04,21,2025,1,10/09/25
P2B1 04/28,1.1416,19.8045,n.a.,n.a.,2.1173,n.a.,30.8064,P2,B,04/28,04,28,2025,1,10/09/25
P2A1 04/28,1.1143,19.6375,n.a.,n.a.,5.3428,n.a.,32.8022,P2,A,04/28,04,28,2025,1,10/09/25
P2B1 05/12,1.0131,17.8678,n.a.,n.a.,n.a.,n.a.,24.43,P2,B,05/12,05,12,2025,1,10/09/25
P2B1 05/26,0.9284,17.9428,n.a.,n.a.,n.a.,n.a.,23.493,P2,B,05/26,05,26,2025,1,10/09/25
P2A1 05/26,0.993,19.2729,n.a.,n.a.,6.7896,n.a.,34.2761,P2,A,05/26,05,26,2025,1,10/09/25
P2B1 06/02,0.397,22.6546,n.a.,n.a.,2.3432,n.a.,32.8159,P2,B,06/02,06,02,2025,1,10/09/25
P2B1 09/16,0.6769,20.4076,n.a.,n.a.,n.a.,n.a.,13.0642,P2,B,09/16,09,16,2025,1,10/09/25
P2A1 09/16,0.5431,19.7027,n.a.,n.a.,5.3777,n.a.,36.8037,P2,A,09/16,09,16,2025,1,10/09/25
P2B1 09/30,0.5626,19.2226,n.a.,n.a.,n.a.,n.a.,28.5342,P2,B,09/30,09,30,2025,1,10/09/25
P2A1 09/30,0.5101,19.3171,n.a.,n.a.,4.5799,n.a.,35.1288,P2,A,09/30,09,30,2025,1,10/09/25
P2B1 10/07,0.5538,19.821,n.a.,n.a.,n.a.,n.a.,32.6852,P2,B,10/07,10,07,2025,1,10/09/25
P2A1 10/07,0.5888,20.9737,n.a.,n.a.,4.5869,n.a.,40.363,P2,A,10/07,10,07,2025,1,10/09/25
P2B1 04/16,1.0594,13.555,n.a.,n.a.,n.a.,n.a.,10.2965,P2,B,04/16,04,16,2025,1,10/10/25
P2A1 04/16,0.9826,18.2615,n.a.,n.a.,5.6543,n.a.,24.484,P2,A,04/16,04,16,2025,1,10/10/25
P2B1 04/21,1.0307,18.7371,n.a.,n.a.,4.9719,n.a.,24.4381,P2,B,04/21,04,21,2025,1,10/10/25
P2A1 04/21,1.0061,20.8532,n.a.,n.a.,5.063,n.a.,32.5267,P2,A,04/21,04,21,2025,1,10/10/25
P2B1 04/28,1.0375,20.0929,n.a.,n.a.,n.a.,n.a.,29.0395,P2,B,04/28,04,28,2025,1,10/10/25
P2A1 04/28,1.0201,19.9618,n.a.,n.a.,5.1091,n.a.,31.05,P2,A,04/28,04,28,2025,1,10/10/25
P2B1 05/12,1.0108,19.0595,n.a.,n.a.,n.a.,n.a.,26.5168,P2,B,05/12,05,12,2025,1,10/10/25
P2B1 05/26,0.8835,18.954,n.a.,n.a.,n.a.,n.a.,23.1988,P2,B,05/26,05,26,2025,1,10/10/25
P2A1 05/26,0.9579,20.5032,n.a.,n.a.,8.4842,n.a.,34.2471,P2,A,05/26,05,26,2025,1,10/10/25
P2B1 06/02,0.3035,24.9954,n.a.,n.a.,2.3571,n.a.,33.551,P2,B,06/02,06,02,2025,1,10/10/25
P2B1 09/16,0.5666,20.083,n.a.,n.a.,n.a.,n.a.,12.1722,P2,B,09/16,09,16,2025,1,10/10/25
P2A1 09/16,n.a.,20.7671,n.a.,n.a.,6.184,n.a.,36.1022,P2,A,09/16,09,16,2025,1,10/10/25
P2B1 09/30,0.4606,20.4698,n.a.,n.a.,n.a.,n.a.,28.1159,P2,B,09/30,09,30,2025,1,10/10/25
P2A1 09/30,n.a.,20.8123,n.a.,n.a.,5.3133,n.a.,35.5495,P2,A,09/30,09,30,2025,1,10/10/25
P2B1 10/07,0.4136,21.0096,n.a.,n.a.,n.a.,n.a.,32.1876,P2,B,10/07,10,07,2025,1,10/10/25
P2A1 10/07,0.3394,21.0399,n.a.,n.a.,5.0311,n.a.,37.5671,P2,A,10/07,10,07,2025,1,10/10/25
P1B1 04/16,0.3138,44.4726,n.a.,n.a.,10.5945,n.a.,32.0748,P1,B,04/16,04,16,2025,1,10/10/25
P1A1 04/16,0.3037,40.6363,n.a.,n.a.,11.5451,n.a.,29.5889,P1,A,04/16,04,16,2025,1,10/10/25
P1B1 04/21,n.a.,41.7646,n.a.,n.a.,10.5845,n.a.,31.5751,P1,B,04/21,04,21,2025,1,10/10/25
P1A1 04/21,0.3018,38.1874,n.a.,n.a.,10.9892,n.a.,29.2004,P1,A,04/21,04,21,2025,1,10/10/25
P1B1 04/28,n.a.,38.2176,n.a.,n.a.,10.3178,n.a.,30.9665,P1,B,04/28,04,28,2025,1,10/10/25
P1A1 04/28,n.a.,37.095,n.a.,n.a.,10.5964,n.a.,26.7116,P1,A,04/28,04,28,2025,1,10/10/25
P1B1 05/12,n.a.,32.884,n.a.,n.a.,8.5384,n.a.,28.3875,P1,B,05/12,05,12,2025,1,10/10/25
P1A1 05/12,n.a.,37.4778,n.a.,n.a.,10.6279,n.a.,29.0264,P1,A,05/12,05,12,2025,1,10/10/25
P1C1 06/02,0.3047,27.9344,n.a.,n.a.,12.7679,n.a.,32.3905,P1,C,06/02,06,02,2025,1,10/10/25
P1B1 06/02,0.3081,37.1675,n.a.,n.a.,9.6716,n.a.,33.8413,P1,B,06/02,06,02,2025,1,10/10/25
P1B1 09/16,n.a.,30.9598,n.a.,n.a.,12.6417,n.a.,30.9422,P1,B,09/16,09,16,2025,1,10/10/25
P1A1 09/16,n.a.,28.6408,n.a.,n.a.,11.6148,n.a.,31.5073,P1,A,09/16,09,16,2025,1,10/10/25
P1C1 09/16,n.a.,27.2077,n.a.,n.a.,11.0107,n.a.,31.7111,P1,C,09/16,09,16,2025,1,10/10/25
P1B1 09/30,n.a.,33.5951,n.a.,n.a.,12.9502,n.a.,32.2767,P1,B,09/30,09,30,2025,1,10/10/25
P1A1 09/30,n.a.,29.3566,n.a.,n.a.,12.2979,n.a.,31.4264,P1,A,09/30,09,30,2025,1,10/10/25
P1C1 09/30,n.a.,25.5858,n.a.,n.a.,11.4694,n.a.,32.6727,P1,C,09/30,09,30,2025,1,10/10/25
P1B1 10/07,n.a.,33.4052,n.a.,n.a.,13.9106,n.a.,32.5526,P1,B,10/07,10,07,2025,1,10/10/25
P1A1 10/07,n.a.,25.8932,n.a.,n.a.,11.4545,n.a.,30.2522,P1,A,10/07,10,07,2025,1,10/10/25
P1C1 10/07,0.6572,25.9108,n.a.,n.a.,9.4547,n.a.,30.2326,P1,C,10/07,10,07,2025,1,10/10/25
P2B1 04/16,1.0944,12.9074,n.a.,2.7335,n.a.,n.a.,11.0084,P2,B,04/16,04,16,2025,1,11/12/25
P2A1 04/16,0.3664,17.8639,n.a.,2.561,4.5819,n.a.,25.6842,P2,A,04/16,04,16,2025,1,11/12/25
P2B1 04/21,n.a.,17.582,n.a.,2.5768,4.1431,n.a.,24.567,P2,B,04/21,04,21,2025,1,11/12/25
P2A1 04/21,0.5409,20.4544,n.a.,n.a.,4.6065,n.a.,33.4096,P2,A,04/21,04,21,2025,1,11/12/25
P2B1 04/28,0.6364,18.6429,n.a.,n.a.,n.a.,n.a.,28.7215,P2,B,04/28,04,28,2025,1,11/12/25
P2A1 04/28,0.379,19.1054,n.a.,2.5522,4.6793,n.a.,31.2164,P2,A,04/28,04,28,2025,1,11/12/25
P2B1 05/12,0.3864,17.8923,n.a.,2.7057,n.a.,n.a.,26.2579,P2,B,05/12,05,12,2025,1,11/12/25
P2B1 05/26,0.3939,17.8327,n.a.,2.8747,n.a.,n.a.,23.8121,P2,B,05/26,05,26,2025,1,11/12/25
P2A1 05/26,0.3796,20.1778,n.a.,n.a.,7.2068,n.a.,35.4246,P2,A,05/26,05,26,2025,1,11/12/25
P2B1 06/02,0.3827,24.0528,n.a.,n.a.,2.3178,n.a.,33.5196,P2,B,06/02,06,02,2025,1,11/12/25
P2B1 09/16,0.4467,20.927,n.a.,2.7446,n.a.,n.a.,13.6481,P2,B,09/16,09,16,2025,1,11/12/25
P2A1 09/16,0.3873,20.2222,n.a.,n.a.,5.141,n.a.,36.7475,P2,A,09/16,09,16,2025,1,11/12/25
P2B1 09/30,0.3972,19.6541,n.a.,2.9029,n.a.,n.a.,28.7255,P2,B,09/30,09,30,2025,1,11/12/25
P2A1 09/30,0.3602,19.9306,n.a.,2.5808,4.1441,n.a.,35.7078,P2,A,09/30,09,30,2025,1,11/12/25
P2B1 10/07,0.3631,20.3422,n.a.,2.9691,n.a.,n.a.,33.1091,P2,B,10/07,10,07,2025,1,11/12/25
P2A1 10/07,0.3681,20.9008,n.a.,2.5472,5.0514,n.a.,39.4017,P2,A,10/07,10,07,2025,1,11/12/25
P1B1 04/16,0.3675,43.9656,n.a.,n.a.,7.7371,n.a.,33.1788,P1,B,04/16,04,16,2025,1,11/12/25
P1A1 04/16,0.3718,41.9412,n.a.,n.a.,9.3307,n.a.,32.125,P1,A,04/16,04,16,2025,1,11/12/25
P1B1 04/21,0.3622,41.4285,n.a.,n.a.,11.1314,n.a.,32.7132,P1,B,04/21,04,21,2025,1,11/12/25
P1A1 04/21,0.3655,36.3382,n.a.,2.5677,10.9645,n.a.,28.8118,P1,A,04/21,04,21,2025,1,11/12/25
P1B1 04/28,0.3664,36.0461,n.a.,n.a.,7.6322,n.a.,30.8682,P1,B,04/28,04,28,2025,1,11/12/25
P1A1 04/28,0.3657,36.8104,n.a.,n.a.,7.3412,n.a.,27.5699,P1,A,04/28,04,28,2025,1,11/12/25
P1B1 05/12,0.3593,32.106,n.a.,n.a.,6.5214,n.a.,29.255,P1,B,05/12,05,12,2025,1,11/12/25
P1A1 05/12,0.3597,36.8767,n.a.,n.a.,11.1602,n.a.,29.5148,P1,A,05/12,05,12,2025,1,11/12/25
P1C1 06/02,0.3744,27.0506,n.a.,2.5548,12.885,n.a.,32.7596,P1,C,06/02,06,02,2025,1,11/12/25
P1B1 06/02,0.3584,35.2896,n.a.,n.a.,6.7193,n.a.,33.5715,P1,B,06/02,06,02,2025,1,11/12/25
P1B1 09/16,0.3764,32.2708,n.a.,n.a.,13.9229,n.a.,33.6207,P1,B,09/16,09,16,2025,1,11/12/25
P1A1 09/16,0.3863,27.4095,n.a.,n.a.,9.2168,n.a.,31.4239,P1,A,09/16,09,16,2025,1,11/12/25
P1C1 09/16,0.3625,26.503,1.9176,2.6138,11.3621,n.a.,33.3329,P1,C,09/16,09,16,2025,1,11/12/25
P1B1 09/30,0.3613,33.5205,n.a.,n.a.,9.2763,n.a.,33.6899,P1,B,09/30,09,30,2025,1,11/12/25
P1A1 09/30,0.3628,29.431,n.a.,n.a.,9.451,n.a.,32.9835,P1,A,09/30,09,30,2025,1,11/12/25
P1C1 09/30,0.3602,24.8371,n.a.,2.5627,11.5588,n.a.,32.808,P1,C,09/30,09,30,2025,1,11/12/25
P1B1 10/07,0.3649,32.146,n.a.,n.a.,9.125,n.a.,32.471,P1,B,10/07,10,07,2025,1,11/12/25
P1A1 10/07,n.a.,n.a.,0.312,n.a.,2.3043,n.a.,3.1938,P1,A,10/07,10,07,2025,1,11/12/25
P1C1 10/07,0.3645,16.2241,n.a.,2.5229,7.213,n.a.,21.9118,P1,C,10/07,10,07,2025,1,11/12/25
P1B1 04/16,0.0269,39.3478,0.2912,1.8285,11.6854,n.a.,34.6305,P1,B,04/16,04,16,2025,1,11/19/25
P1A1 04/16,0.0258,22.7105,n.a.,1.8521,8.8172,n.a.,19.8598,P1,A,04/16,04,16,2025,1,11/19/25
P1B1 04/21,0.0184,37.9424,0.4029,1.8177,12.013,n.a.,35.2339,P1,B,04/21,04,21,2025,1,11/19/25
P1A1 04/21,0.0364,36.1807,n.a.,1.7938,12.6779,n.a.,33.2149,P1,A,04/21,04,21,2025,1,11/19/25
P1B1 04/28,0.1016,36.92,n.a.,1.8178,12.4402,n.a.,36.0173,P1,B,04/28,04,28,2025,1,11/19/25
P1A1 04/28,0.052,38.1844,n.a.,1.806,13.4166,n.a.,32.8912,P1,A,04/28,04,28,2025,1,11/19/25
P1B1 05/12,0.0962,32.52,n.a.,1.8134,10.1262,n.a.,33.8826,P1,B,05/12,05,12,2025,1,11/19/25
P1A1 05/12,0.0226,40.5339,n.a.,1.81,14.0761,n.a.,36.8898,P1,A,05/12,05,12,2025,1,11/19/25
P1C1 06/02,0.1438,28.7651,0.3334,1.8208,16.2775,n.a.,40.4902,P1,C,06/02,06,02,2025,1,11/19/25
P1B1 06/02,0.0993,37.574,0.3129,1.8557,11.5321,n.a.,41.6563,P1,B,06/02,06,02,2025,1,11/19/25
P1C1 09/16,0.0458,28.0735,0.7864,n.a.,13.4891,n.a.,39.3253,P1,C,09/16,09,16,2025,1,11/19/25
P1B1 09/16,0.0139,33.4146,n.a.,1.7965,17.0376,n.a.,39.3176,P1,B,09/16,09,16,2025,1,11/19/25
P1A1 09/16,0.2125,30.8909,n.a.,n.a.,15.4144,n.a.,40.6502,P1,A,09/16,09,16,2025,1,11/19/25
P1C1 09/30,0.0461,26.3448,0.2524,1.7943,14.2873,n.a.,40.2363,P1,C,09/30,09,30,2025,1,11/19/25
P1B1 09/30,0.076,36.2042,n.a.,1.8313,17.0516,n.a.,41.4424,P1,B,09/30,09,30,2025,1,11/19/25
P1A1 09/30,0.0738,31.745,n.a.,1.8141,16.2724,n.a.,40.7255,P1,A,09/30,09,30,2025,1,11/19/25
P1C1 10/07,0.0852,25.3265,n.a.,1.8392,11.3544,n.a.,35.9894,P1,C,10/07,10,07,2025,1,11/19/25
P1B1 10/07,0.0028,34.3627,n.a.,1.7832,17.8977,n.a.,40.3494,P1,B,10/07,10,07,2025,1,11/19/25
P1A1 10/07,n.a.,26.4282,n.a.,1.7567,14.5558,n.a.,36.8804,P1,A,10/07,10,07,2025,1,11/19/25
P1C1 10/07,0.0743,17.5165,n.a.,1.807,8.3651,n.a.,24.5255,P1,C,10/07,10,07,2025,1,11/19/25
P1B1 10/14,0.2219,37.3387,0.7533,n.a.,16.5412,n.a.,39.8459,P1,B,10/14,10,14,2025,1,11/19/25
P1A1 10/14,0.1883,33.1275,n.a.,1.8069,16.0383,n.a.,37.3733,P1,A,10/14,10,14,2025,1,11/19/25
P1C1 10/28,0.2291,25.1958,n.a.,1.8412,16.3017,n.a.,39.5955,P1,C,10/28,10,28,2025,1,11/19/25
P1B1 10/28 ?,0.1575,19.9191,n.a.,1.7448,2.382,n.a.,41.5792,P1,B,10/28,10,28,2025,1,11/19/25
P1A1 10/28,0.1749,34.3149,n.a.,1.8157,16.2578,n.a.,38.4074,P1,A,10/28,10,28,2025,1,11/19/25
P1C1 11/04,0.1856,26.7535,n.a.,1.7988,16.5956,n.a.,41.3731,P1,C,11/04,11,04,2025,1,11/19/25
P1B1 11/04,0.1931,45.509,n.a.,1.8696,17.7202,n.a.,13.2649,P1,B,11/04,11,04,2025,1,11/19/25
P1A1 11/04,0.0913,25.5888,n.a.,n.a.,12.7687,n.a.,31.1542,P1,A,11/04,11,04,2025,1,11/19/25
P1C1 11/11,0.0334,16.5286,n.a.,1.7622,13.546,n.a.,28.3672,P1,C,11/11,11,11,2025,1,11/19/25
P1B1 11/11,0.157,34.8161,n.a.,n.a.,13.6769,n.a.,34.039,P1,B,11/11,11,11,2025,1,11/19/25
P1A1 11/11,0.0773,27.9604,n.a.,1.7868,12.8898,n.a.,32.196,P1,A,11/11,11,11,2025,1,11/19/25
P1C1 11/18,0.1389,17.3386,n.a.,1.7831,13.123,n.a.,27.8283,P1,C,11/18,11,18,2025,1,11/19/25
P1B1 11/18,0.2281,38.0199,n.a.,1.8304,14.6062,n.a.,37.6441,P1,B,11/18,11,18,2025,1,11/19/25
P1A1 11/18,0.1441,24.9435,n.a.,1.8418,11.1631,n.a.,27.3507,P1,A,11/18,11,18,2025,1,11/19/25
P1B1 04/16,0.2368,41.2378,1.2273,1.2222,11.4409,n.a.,35.3386,P1,B,04/16,04,16,2025,1,02/26/26
P1A1 04/16,0.2331,37.7758,1.135,1.2015,13.0956,n.a.,32.3035,P1,A,04/16,04,16,2025,1,02/26/26
P1B1 04/21,0.2465,42.1098,1.4792,1.2172,12.2685,n.a.,37.8454,P1,B,04/21,04,21,2025,1,02/26/26
P1A1 04/21,0.2512,36.1728,n.a.,1.1533,11.7407,n.a.,31.8485,P1,A,04/21,04,21,2025,1,02/26/26
P1B1 04/28,0.2281,36.0155,n.a.,1.1657,11.6103,n.a.,34.1074,P1,B,04/28,04,28,2025,1,02/26/26
P1A1 04/28,0.2353,36.31,n.a.,1.1813,12.3088,n.a.,30.4003,P1,A,04/28,04,28,2025,1,02/26/26
P1B1 05/12,0.2276,32.6553,1.0355,1.1919,9.2042,n.a.,9.9648,P1,B,05/12,05,12,2025,1,02/26/26
P1A1 05/12,0.2466,39.1947,1.2311,1.2065,12.9498,n.a.,35.7904,P1,A,05/12,05,12,2025,1,02/26/26
P1C1 06/02,0.315,27.413,n.a.,1.2016,14.6945,n.a.,37.0986,P1,C,06/02,06,02,2025,1,02/26/26
P1B1 06/02,0.2384,37.204,n.a.,1.17,10.5819,n.a.,39.7582,P1,B,06/02,06,02,2025,1,02/26/26
P1C1 09/16,0.2739,26.6,1.4977,1.1992,11.3256,n.a.,36.1519,P1,C,09/16,09,16,2025,1,02/26/26
P1B1 09/16,0.2319,33.4476,n.a.,n.a.,16.0182,n.a.,38.4039,P1,B,09/16,09,16,2025,1,02/26/26
P1A1 09/16,0.2468,28.9185,n.a.,1.1512,13.6042,n.a.,37.1031,P1,A,09/16,09,16,2025,1,02/26/26
P1C1 09/30,0.2492,25.6171,1.5166,1.1692,12.3655,n.a.,38.2428,P1,C,09/30,09,30,2025,1,02/26/26
P1B1 09/30,0.237,34.4699,n.a.,1.1531,15.2512,n.a.,38.4544,P1,B,09/30,09,30,2025,1,02/26/26
P1A1 09/30,0.2305,29.6408,n.a.,n.a.,14.1924,n.a.,36.7589,P1,A,09/30,09,30,2025,1,02/26/26
P1C1 10/07,0.2666,26.6565,n.a.,1.1658,11.0734,n.a.,36.0038,P1,C,10/07,10,07,2025,1,02/26/26
