Sample,Calcium,Magnesium,Potassium,Ammonium,Sodium,Lithium,MeasurementDate,Well ,PumpTest_Creek,SampleNum,Date,Dilution
6.25 ppm Ca test,6.4381,3.0744,6.4696,3.9489,2.4705,0.6047,06-24-2026,NA,NA,NA,NA,1:1
12.50 ppm Ca test,12.4984,5.9947,12.6505,6.514,4.7116,1.159,06-24-2026,NA,NA,NA,NA,1:1
1.0625 ppm Ca,0.9557,0.5142,1.1829,n.a.,0.5158,0.1128,06-26-2026,NA,NA,NA,NA,1:1
2.125 ppm Ca,2.1138,1.1046,2.595,0.4038,1.0887,0.248,06-26-2026,NA,NA,NA,NA,1:1
4.25 ppm Ca,4.2632,2.2249,5.2719,0.8507,2.2802,0.5032,06-26-2026,NA,NA,NA,NA,1:1
8.5 ppm Ca,8.7,4.5402,10.7626,1.7216,4.6056,1.0216,06-26-2026,NA,NA,NA,NA,1:1
17 ppm Ca,16.9048,8.9917,20.875,2.8745,8.9471,1.9894,06-26-2026,NA,NA,NA,NA,1:1
8.5 ppm Ca,8.7308,4.5605,10.7964,1.7208,4.6311,1.0266,06-26-2026,NA,NA,NA,NA,1:1
8.5 ppm Ca,8.4535,4.4188,10.433,1.6767,4.4834,0.9953,06-26-2026,NA,NA,NA,NA,1:1
1:4 Tap dilution,8.0862,2.5666,0.3492,n.a.,23.288,n.a.,06-26-2026,NA,NA,NA,NA,1:4
1:4 Tap dilution,8.0222,2.5452,0.3563,n.a.,23.1462,n.a.,06-26-2026,NA,NA,NA,NA,1:4
P1B1 06/16/2026,35.4239,12.1555,0.4669,n.a.,4.9227,n.a.,06-26-2026,P1,B,1,06/16/2026,1:1
P1A1 06/16/2026,33.5757,11.8045,0.458,n.a.,4.7239,n.a.,06-26-2026,P1,A,1,06/16/2026,1:1
P1C1 06/16/2026,28.5475,11.7211,0.4929,n.a.,3.6316,n.a.,06-26-2026,P1,C,1,06/16/2026,1:1
P2B1 06/16/26,23.3579,8.925,n.a.,n.a.,2.0631,n.a.,06-26-2026,P2,B,1,06/16/26,1:1
P2A1 06/16/2026,21.8604,8.2826,n.a.,n.a.,1.9856,n.a.,06-26-2026,P2,A,1,06/16/2026,1:1
P3B1 06/16/26,32.3321,12.8372,0.3821,n.a.,2.0222,n.a.,06-26-2026,P3,B,1,06/16/26,1:1
P3A1 06/16/2026,32.1514,12.6838,0.3942,n.a.,1.9853,n.a.,06-26-2026,P3,A,1,06/16/2026,1:1
P3C1 06/16/2026,27.58,11.6011,0.4696,n.a.,3.7342,n.a.,06-26-2026,P3,C,1,06/16/2026,1:1
P4B1 06/16/26,30.826,12.7985,0.6844,n.a.,4.4701,n.a.,06-26-2026,P4,B,1,06/16/26,1:1
P4A1 06/16/2026,31.4267,12.8907,0.7573,n.a.,4.5414,n.a.,06-26-2026,P4,A,1,06/16/2026,1:1
P5B1 06/16/2026,31.1248,10.1525,0.5515,n.a.,2.2406,n.a.,06-26-2026,P5,B,1,06/16/2026,1:1
P5A1 06/16/2026,29.0527,9.4921,n.a.,n.a.,2.5626,n.a.,06-26-2026,P5,A,1,06/16/2026,1:1
P5C1 06/16/2026,25.2092,11.2188,0.4746,n.a.,3.92,n.a.,06-26-2026,P5,C,1,06/16/2026,1:1
P1B1 05/19/26,34.3257,11.9935,0.417,0.1136,4.6938,n.a.,06-26-2026,P1,B,1,05/19/26,1:1
P1A1 05/19/2026,32.8681,11.7033,0.3733,n.a.,4.4705,n.a.,06-26-2026,P1,A,1,05/19/2026,1:1
P1C1 05/19/2026,22.8961,9.4815,0.5141,n.a.,3.0529,n.a.,06-26-2026,P1,C,1,05/19/2026,1:1
P2B1 05/19/2026,33.135,12.8073,0.6004,n.a.,2.8343,n.a.,06-26-2026,P2,B,1,05/19/2026,1:1
P2A1 05/19/2026,33.2108,12.8556,0.6267,n.a.,2.9159,n.a.,06-26-2026,P2,A,1,05/19/2026,1:1
P3B1 05/19/2026,31.5011,12.7012,0.3588,0.0942,2.0506,n.a.,06-26-2026,P3,B,1,05/19/2026,1:1
P3A1 05/19/2026,31.7632,12.6696,0.3473,n.a.,1.9845,n.a.,06-26-2026,P3,A,1,05/19/2026,1:1
P3C1 05/19/2026,21.9864,9.2305,0.5232,n.a.,3.1043,n.a.,06-26-2026,P3,C,1,05/19/2026,1:1
P4B1 05/19/2026,31.5102,12.972,0.6568,n.a.,4.3594,n.a.,06-26-2026,P4,B,1,05/19/2026,1:1
P4A1 05/19/2026,30.9466,12.6434,0.6596,n.a.,4.4416,n.a.,06-26-2026,P4,A,1,05/19/2026,1:1
P5B1 05/19/26,30.6774,9.9698,0.5124,n.a.,2.2966,n.a.,06-26-2026,P5,B,1,05/19/26,1:1
P5A1 05/19/2026,32.4788,11.1408,0.7109,n.a.,3.6441,n.a.,06-26-2026,P5,A,1,05/19/2026,1:1
P5C1 05/19/2026,20.2467,8.6338,0.5263,n.a.,3.1024,n.a.,06-26-2026,P5,C,1,05/19/2026,1:1
P1B1 05/12/2026,32.7923,11.4027,0.3762,n.a.,4.3155,n.a.,06-26-2026,P1,B,1,05/12/2026,1:1
P1A1 05/12/2026,34.2667,12.156,0.4269,n.a.,4.6442,n.a.,06-26-2026,P1,A,1,05/12/2026,1:1
P1C1 05/12/2026,27.513,11.6838,0.5054,n.a.,3.7348,n.a.,06-26-2026,P1,C,1,05/12/2026,1:1
P2B1 05/12/2026,33.7958,12.9548,0.6316,n.a.,2.8787,n.a.,06-26-2026,P2,B,1,05/12/2026,1:1
P2A1 05/12/2026,25.4614,9.7707,n.a.,n.a.,2.1865,n.a.,06-26-2026,P2,A,1,05/12/2026,1:1
P3A1 05/12/2026,26.8302,10.5768,0.274,n.a.,1.6734,n.a.,06-26-2026,P3,A,1,05/12/2026,1:1
P3B1 05/12/2026,31.1963,12.7081,0.3515,0.5227,2.0907,n.a.,06-26-2026,P3,B,1,05/12/2026,1:1
P3A1 05/12/2026,31.6085,12.6283,0.3464,n.a.,1.977,n.a.,06-26-2026,P3,A,1,05/12/2026,1:1
P3C1 05/12/2026,25.3737,10.8446,0.4505,n.a.,3.5724,n.a.,06-26-2026,P3,C,1,05/12/2026,1:1
P4B1 05/12/2026,29.5097,12.2219,0.5584,n.a.,3.9756,n.a.,06-26-2026,P4,B,1,05/12/2026,1:1
P4A1 05/12/2026,31.8476,12.8825,0.6309,n.a.,4.3756,n.a.,06-26-2026,P4,A,1,05/12/2026,1:1
P5B1 05/12/2026,31.3469,10.1969,0.505,n.a.,2.3934,n.a.,06-26-2026,P5,B,1,05/12/2026,1:1
P5A1 05/12/2026,29.8288,9.8358,0.6193,n.a.,2.6239,n.a.,06-26-2026,P5,A,1,05/12/2026,1:1
P5C1 05/12/2026,24.3394,10.6894,0.4375,n.a.,3.6296,n.a.,06-26-2026,P5,C,1,05/12/2026,1:1
1.0625 ppm Ca Thermo,0.9938,0.5417,1.1335,n.a.,0.5944,0.1146,,NA,NA,NA,NA,1:1
6.25 PPM Ca Ricca,9.0312,4.5202,9.2264,6.0758,3.5343,0.9214,,NA,NA,NA,NA,1:1
12.5 ppm Ca Ricca,14.1688,7.09,14.4505,9.245,5.4403,1.4399,,NA,NA,NA,NA,1:1
17 ppm Ca Thermo,17.3596,9.5132,21.5853,2.4079,9.1463,2.1982,,NA,NA,NA,NA,1:1
25 ppm Ca Ricca,25.4255,12.6628,25.5238,11.5085,10.2743,2.5133,,NA,NA,NA,NA,1:1
P1B1 04/04/2026 1:4,9.4527,7.2213,0.0837,n.a.,2.6924,n.a.,,P1,B,1,04/04/2026,1:4
P1A1 04/07/2026 1:4,5.9946,7.3349,0.1375,n.a.,2.5692,n.a.,,P1,A,1,04/07/2026,1:4
1:4 Tap Compare,3.5212,1.1973,0.1581,n.a.,27.8312,n.a.,,NA,NA,NA,NA,1:4
1:4 Tap Compare,3.5049,1.1928,0.1551,n.a.,27.7757,n.a.,,NA,NA,NA,NA,1:4
3.12 ppm Ca Ricca,3.0727,1.5355,3.0531,1.1873,1.2747,0.3063,,NA,NA,NA,NA,1:1
6.25 ppm Ca Ricca,6.3493,3.1635,6.4675,4.1257,2.4983,0.6386,,NA,NA,NA,NA,1:1
12.5 ppm Ca Ricca,12.5723,6.2882,12.8152,8.3146,4.8533,1.2813,,NA,NA,NA,NA,1:1
P5C1 04/14/2026 1:4,12.4968,4.9532,0.1547,n.a.,2.1008,n.a.,,P5,C,1,04/14/2026,1:4
P5A1 04/14/2026 1:4,18.7582,7.0574,0.0984,n.a.,2.4822,n.a.,,P5,A,1,04/14/2026,1:4
P5B1 04/14/2026 1:4,5.7729,5.4548,0.1353,n.a.,1.497,n.a.,,P5,B,1,04/14/2026,1:4
P5A1 04/14/2026 1:4,12.319,6.0566,0.1351,n.a.,1.9718,n.a.,,P5,A,1,04/14/2026,1:4
P4B1 04/14/2026 1:4,14.2483,7.8511,0.2565,n.a.,2.4566,n.a.,,P4,B,1,04/14/2026,1:4
P3C1 04/14/2026 1:4,9.2651,5.3244,0.15,n.a.,2.1765,n.a.,,P3,C,1,04/14/2026,1:4
P3A1 04/14/2026 1:4,11.6847,7.8731,0.0612,n.a.,1.2606,n.a.,,P3,A,1,04/14/2026,1:4
P3B1 04/14/2026 1:4,10.5722,7.6813,n.a.,n.a.,1.2247,n.a.,,P3,B,1,04/14/2026,1:4
P2A2 04/14/2026 1:4,12.0505,7.538,0.1843,n.a.,1.6804,n.a.,,P2,A,2,04/14/2026,1:4
P2B1 04/14/2026 1:4,13.7223,7.6271,0.205,n.a.,1.7183,n.a.,,P2,B,1,04/14/2026,1:4
P1C1 04/14/2026 1:4,13.8217,5.4866,0.1464,n.a.,2.1385,n.a.,,P1,C,1,04/14/2026,1:4
P1A1 04/14/2026 1:4,12.1243,7.0502,0.0783,n.a.,2.5997,n.a.,,P1,A,1,04/14/2026,1:4
P1B1 04/14/2026 1:4,13.9416,6.8101,n.a.,n.a.,2.5204,n.a.,,P1,B,1,04/14/2026,1:4
1.5625 PPM RICCA,1.4734,0.7335,1.3738,n.a.,0.6561,0.1376,,NA,NA,NA,NA,1:1
3.125 PPM RICCA,3.1355,1.561,3.0836,1.2043,1.2838,0.3098,,NA,NA,NA,NA,1:1
6.25 PPM RICCA,6.3909,3.1905,6.4744,4.0913,2.5319,0.6489,,NA,NA,NA,NA,1:1
12.5 PPM RICCA,12.4084,6.2118,12.5897,8.1702,4.8347,1.2618,,NA,NA,NA,NA,1:1
25 PPM RICCA,25.0149,12.5059,24.916,11.4345,10.0685,2.4909,,NA,NA,NA,NA,1:1
6.25 PPM RICCA,6.3889,3.1943,6.4802,4.1081,2.5344,0.6485,,NA,NA,NA,NA,1:1
6.25 PPM RICCA,6.3119,3.1574,6.391,4.0411,2.5049,0.6423,,NA,NA,NA,NA,1:1
1.0625 PPM CA THERMO,1.0342,0.5593,1.156,n.a.,0.6042,0.1178,,NA,NA,NA,NA,1:1
2.125 PPM CA THERMO,2.0235,1.104,2.4425,n.a.,1.1157,0.2491,,NA,NA,NA,NA,1:1
4.25 PPM CA THERMO,4.3206,2.3635,5.3866,n.a.,2.3917,0.5514,,NA,NA,NA,NA,1:1
8.50 PPM CA THERMO,8.5519,4.6607,10.725,0.4144,4.6079,1.0895,,NA,NA,NA,NA,1:1
17 PPM CA THERMO,17.8883,9.5688,21.6466,2.4214,9.1906,2.2095,,NA,NA,NA,NA,1:1
1:4 LIME 3,9.0124,1.8555,0.3312,n.a.,0.3012,n.a.,,NA,NA,NA,NA,1:4
1:4 LIME 2,7.6249,1.809,0.4061,n.a.,0.343,n.a.,,NA,NA,NA,NA,1:4
1:4 LIME 1,7.0286,1.7421,0.2938,n.a.,0.3392,n.a.,,NA,NA,NA,NA,1:4
1:4 SW3,0.4868,0.1497,0.4726,n.a.,0.1075,n.a.,,NA,NA,NA,NA,1:4
1:4 SW2,0.5824,0.1866,0.478,n.a.,0.1151,n.a.,,NA,NA,NA,NA,1:4
1:4 SW1,0.4789,0.152,0.5115,n.a.,0.1081,n.a.,,NA,NA,NA,NA,1:4
1:2 SW3,0.8676,0.2766,0.8616,n.a.,0.1315,n.a.,,NA,NA,NA,NA,1:2
1:2 SW2,0.8042,0.2526,0.6797,n.a.,0.1286,n.a.,,NA,NA,NA,NA,1:2
1:2 SW1,0.8596,0.2654,0.7952,n.a.,0.134,n.a.,,NA,NA,NA,NA,1:2
1:1 SW3,1.074,0.3251,0.9905,n.a.,0.1553,n.a.,,NA,NA,NA,NA,1:1
1:1 SW2,1.3142,0.4266,1.6897,n.a.,0.1707,n.a.,,NA,NA,NA,NA,1:1
1:1 SW2,1.0169,0.3037,0.9322,n.a.,0.1751,n.a.,,NA,NA,NA,NA,1:1
P5C1 04/07/2026 1:4,5.643,5.3792,0.1555,n.a.,2.1675,n.a.,,P5,C,1,04/07/2026,1:4
P5A1 04/07/2026 1:4,6.3327,5.8199,0.2548,n.a.,2.3139,n.a.,,P5,A,1,04/07/2026,1:4
P5B1 04/07/2026 1:4,5.8137,5.7291,0.1533,n.a.,1.5545,n.a.,,P5,B,1,04/07/2026,1:4
P4A1 04/07/2026 1:4,7.0113,7.8096,0.1917,n.a.,2.4137,n.a.,,P4,A,1,04/07/2026,1:4
P4B1 04/07/2026 1:4,7.8292,8.0361,0.2187,n.a.,2.4398,n.a.,,P4,B,1,04/07/2026,1:4
P3C1 04/07/2026 1:4,7.3955,6.1417,0.194,n.a.,2.2791,n.a.,,P3,C,1,04/07/2026,1:4
P3A1 04/07/2026 1:4,7.9095,7.6192,0.0385,n.a.,1.1918,n.a.,,P3,A,1,04/07/2026,1:4
P3B1 04/07/2026 1:4,8.8937,7.8362,0.0414,n.a.,1.2188,n.a.,,P3,B,1,04/07/2026,1:4
P2A1 04/07/2026 1:4,5.5304,6.0293,0.112,n.a.,1.4044,n.a.,,P2,A,1,04/07/2026,1:4
P2B1 04/07/2026 1:4,7.8171,7.3097,0.1884,n.a.,1.642,n.a.,,P2,B,1,04/07/2026,1:4
P1C1 04/07/2026 1:4,4.5542,3.896,0.0225,n.a.,1.4049,n.a.,,P1,C,1,04/07/2026,1:4
P1A1 04/07/2026 1:4,6.094,7.4414,0.1411,n.a.,2.5951,n.a.,,P1,A,1,04/07/2026,1:4
P1B1 04/07/2026 1:4,9.5915,7.2804,0.0844,n.a.,2.705,n.a.,,P1,B,1,04/07/2026,1:4
3.125 PPM Ca Test,3.1124,1.5526,3.0716,1.199,1.2807,0.3081,,NA,NA,NA,NA,1:1
6.25 ppm Ca test,6.3361,3.1619,6.4124,4.0626,2.5088,0.6429,,NA,NA,NA,NA,1:1
12.50 ppm Ca test,12.6647,6.3353,12.9166,8.3575,4.8848,1.2871,,NA,NA,NA,NA,1:1
P5C1 04/28/2026 1:4,13.6034,5.7047,0.103,n.a.,1.941,n.a.,,P5,C,1,04/28/2026,1:4
P5A1 04/28/2026 1:4,18.2711,5.9801,0.2742,n.a.,1.6527,n.a.,,P5,A,1,04/28/2026,1:4
P5B1 04/28/2026 1:4,16.2214,5.3331,0.1174,n.a.,1.3197,n.a.,,P5,B,1,04/28/2026,1:4
P4A1 04/28/2026 1:4,19.0373,7.8133,0.2348,n.a.,2.608,n.a.,,P4,A,1,04/28/2026,1:4
P4B1 04/28/2026 1:4,13.6941,5.6612,0.1042,n.a.,1.8409,n.a.,,P4,B,1,04/28/2026,1:4
P3C1 04/28/2026 1:4,14.3314,6.0072,0.1021,n.a.,1.9706,n.a.,,P3,C,1,04/28/2026,1:4
P3A1 04/28/2026 1:4,18.7384,7.535,0.0546,n.a.,1.2178,n.a.,,P3,A,1,04/28/2026,1:4
P3B1 04/28/2026 1:4,19.6528,7.951,0.0648,n.a.,1.2705,n.a.,,P3,B,1,04/28/2026,1:4
P2A1 04/28/2026 1:4,19.8431,7.7531,0.2299,n.a.,1.7404,n.a.,,P2,A,1,04/28/2026,1:4
P2B1 04/28/2026 1:4,18.9469,7.3749,0.1862,n.a.,1.6553,n.a.,,P2,B,1,04/28/2026,1:4
P1C1 04/28/2026 1:4,14.3455,6.0567,0.1104,n.a.,1.9301,n.a.,,P1,C,1,04/28/2026,1:4
P1A1 04/28/2026 1:4,20.0646,7.1514,0.0842,n.a.,2.6791,n.a.,,P1,A,1,04/28/2026,1:4
P1B1 04/28/2026 1:4,20.9113,7.3479,0.0848,n.a.,2.7676,n.a.,,P1,B,1,04/28/2026,1:4
P5C1 04/21/2026 1:4,12.4302,4.8563,0.0917,n.a.,1.8691,n.a.,,P5,C,1,04/21/2026,1:4
P5A1 04/28/2026 1:4,17.8319,5.8844,0.2253,n.a.,1.6716,n.a.,,P5,A,1,04/28/2026,1:4
P5B1 04/21/2026 1:4,18.2393,6.0027,0.1538,n.a.,1.5781,n.a.,,P5,B,1,04/21/2026,1:4
P4B1 04/21/2026 1:4,19.2489,7.9956,0.2429,n.a.,2.5075,n.a.,,P4,B,1,04/21/2026,1:4
P4A1 04/21/2026 1:4,19.2291,7.8783,0.2309,n.a.,2.5893,n.a.,,P4,A,1,04/21/2026,1:4
P3C1 04/21/2026 1:4,16.3941,6.4195,0.149,n.a.,2.2463,n.a.,,P3,C,1,04/21/2026,1:4
P3A1 04/21/2026 1:4,19.8692,8.0399,n.a.,n.a.,1.2937,n.a.,,P3,A,1,04/21/2026,1:4
P3B1 04/21/2026 1:4,18.6078,7.567,0.0754,n.a.,1.2282,n.a.,,P3,B,1,04/21/2026,1:4
P2A1 04/21/2026 1:4,15.6433,6.185,0.1297,n.a.,1.4203,n.a.,,P2,A,1,04/21/2026,1:4
P2B1 04/21/2026 1:4,18.5828,7.2405,0.1806,n.a.,1.6325,n.a.,,P2,B,1,04/21/2026,1:4
P1C1 04/21/2026 1:4,15.8649,6.3201,0.1321,n.a.,2.0858,n.a.,,P1,C,1,04/21/2026,1:4
P1B1 04/21/2026 1:4,20.3693,6.9744,0.0874,n.a.,2.6164,n.a.,,P1,B,1,04/21/2026,1:4
P1A1 04/21/2026 1:4,17.8924,6.4716,0.1007,n.a.,2.4449,n.a.,,P1,A,1,04/21/2026,1:4
P2B1 06/16/2026 1:4,14.5995,5.6933,0.1215,n.a.,1.367,n.a.,,P2,B,1,06/16/2026,1:4
P2A1 06/16/2026 1:4,13.1514,5.1222,0.101,n.a.,1.2743,n.a.,,P2,A,1,06/16/2026,1:4
P1C1 06/16/2026 1:4,16.5242,6.8534,0.1441,n.a.,2.1639,n.a.,,P1,C,1,06/16/2026,1:4
P1A1 06/16/2026 1:4,19.5537,6.9321,0.122,n.a.,2.7951,n.a.,,P1,A,1,06/16/2026,1:4
P1B1 06/16/2026 1:4,19.5532,6.7316,0.1057,n.a.,2.739,n.a.,,P1,B,1,06/16/2026,1:4
P3B1 05/12/2026 1:4,18.3622,7.511,0.0701,n.a.,1.2308,n.a.,,P3,B,1,05/12/2026,1:4
P3A1 05/12/2026 1:4,19.543,7.8715,0.0728,n.a.,1.2684,n.a.,,P3,A,1,05/12/2026,1:4
P3C1 05/12/2026 1:4,15.1575,6.5909,0.1278,n.a.,2.1816,n.a.,,P3,C,1,05/12/2026,1:4
P4B1 05/12/2026 1:4,15.2783,6.3758,0.1391,n.a.,2.1233,n.a.,,P4,B,1,05/12/2026,1:4
P4A1 05/12/2026 1:4,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,P4,A,1,05/12/2026,1:4
P5B1 05/12/2026 1:4,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,P5,B,1,05/12/2026,1:4
P5A1 05/12/2026 1:4,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,P5,A,1,05/12/2026,1:4
P5C1 05/12/2026 1:4,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,P5,C,1,05/12/2026,1:4
1.5625 PPM RICCA,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,NA,NA,NA,NA,1:1
3.125 PPM RICCA,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,NA,NA,NA,NA,1:1
6.25 PPM RICCA,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,NA,NA,NA,NA,1:1
12.5 PPM RICCA,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,NA,NA,NA,NA,1:1
25 PPM RICCA,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,NA,NA,NA,NA,1:1
6.25 PPM RICCA,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,NA,NA,NA,NA,1:1
6.25 PPM RICCA,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,NA,NA,NA,NA,1:1
1.0625 PPM CA THERMO,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,NA,NA,NA,NA,1:1
2.125 PPM CA THERMO,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,NA,NA,NA,NA,1:1
4.25 PPM CA THERMO,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,NA,NA,NA,NA,1:1
8.50 PPM CA THERMO,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,NA,NA,NA,NA,1:1
17 PPM CA THERMO,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,NA,NA,NA,NA,1:1
